//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klik
BloonsBFBSkinBtd4RetroName,BTD4 Retro-BFB
BloonsBFBSkinBtd4RetroShortName,Retro-BFB
BloonsBFBSkinBtd4RetroDescription,"Af den gamle skole, dengang den var den største fare i luftrummet!"
CoopEmoteAnimationTrophyName,Trofæ-vinder emote
CoopEmoteAnimationTrophyShortName,Trofæ-vinder
CoopEmoteAnimationTrophyDescription,Frem med champagnen! Du kan fejre din sejr med et funklenede guldtrofæ!
CoopEmoteAnimationPlayerNumbersName,Spillernumre emote
CoopEmoteAnimationPlayerNumbersShortName,Spillernumre
CoopEmoteAnimationPlayerNumbersDescription,Kommuniker med andre spillere med disse praktiske spillernummer emoter. Vær sød ved spiller 3.
GameUIProfileAvatar37Name,Custom Avatar - Skarp Sauda
GameUIProfileAvatar37ShortName,Skarp Sauda Avatar
GameUIProfileAvatar37Description,"Ro, færdighed, præcision. Den seje Sauda avatar definerer dig som spiller!"
GameUIProfileAvatar38Name,Custom Avatar - Pingvin-ven
GameUIProfileAvatar38ShortName,Pingvin-ven avatar
GameUIProfileAvatar38Description,Avatar-vinder af ReconScoutTeemo
GameUIProfileAvatar39Name,Custom Avatar - Klisterkaster
GameUIProfileAvatar39ShortName,Klisterkaster avatar
GameUIProfileAvatar39Description,Avatar-vinder af Cyliia
GameUIPowerSkinLavaLakeName,Custom kraft - Transportabel lava-sø
GameUIPowerSkinLavaLakeShortName,Transportabel lava-sø
GameUIPowerSkinLavaLakeDescription,Her er ved at blive varmt! Kog problemerne væk i lava-søen!
Resort,Kursted
ETnEtienneSkinName,ETn
ETnEtienneSkinDescription,Før mig til jeres chef
VeteranXP,Veteran XP
GameUIMusicTrackMusicSailsAgain,Sejler igen
Leaderboards,Førertavler
Global,Global
League,Liga
Race,Løb
Mini-race,Mini-løb
NoRaceDataYet,Færdiggør et løb for at deltage i et mini-løb!
Kick,Spark
MakePublic,Offentliggør
VeteranLevelsHeader,Veteran niveauer
VeteranLevelsDescription,"Tillykke, du er nået til øverste niveaugrænse! Fra nu af optjener du veteran XP og kan opnå veteran niveauer. Disse niveauer tager længere tid end normalt, og viser hvor meget du brænder for at springe bloons!"
LevelCapIncreasedHeader,Niveaugrænsen er hævet!
LevelCapIncreasedDescription,"Niveaugrænsen er hævet! Du kan nu optjene normale niveauer indtil du rammer niveaugrænsen. Bare rolig, du har stadig din veteran XP og niveauer, og du kan begynde at optjene veteran XP igen når du rammer den nye niveaugrænse."
Rejoin,Tilslut dig spillet igen
GameHasEnded,Spillet er slut
SlowInternet,Manglende eller langsom internetforbindelse
ErrorRejoining,Der skete en fejl ved tilslutning til spillet
RewardsTopPlacing,Øverste {0}
LostConnectionRejoin,Forbindelsen er tabt. Tilslut dig Co-op spillet igen?
Rejoining,Genindtræder i spillet...
PlayerPositionClosed,Spiller position lukket
YouFinished,Din placering:
BestTime,Bedste tid:
Claim,Accepter
PlayerRejoinedGame, har tilsluttet sig spillet igen
PlayerKickedFromGame,{0} er blevet fjernet fra spillet
ConfirmKickPlayer,"Er du sikker på, at du vil fjerne {0}?"
Remove,Fjern
MiniRacesFirstTimeTitle,Mini-løb!
MiniRacesFirstTimeDescription,"Efter du har færdiggjort et løb, får du en placering både på en mini-løbs førertavle, og på primærløb  førertavlen. Kæmp imod andre spillere i dit mini-løb for at få endnu flere præmier når løbet slutter!"
SharingCoop,Tilslut dig mit co-op spil i Bloons TD 6!
SharingChallenge,Kan du overkomme denne Bloons TD 6 udfordring?
btd6_racespass,{0} Løb-pas
btd6_racepass,1 Løb-pas
OdysseyCrewConfirmed,Hold bekræftet
OdysseyCrewModified,Hold modificeret
Odysseys,Odysséer
InviteReceivedTitle,Indbydelse modtaget
ChallengeInviteReceivedDescription,Du har fået en invitation til at prøve udfordringskode: {0}
CoopInviteReceivedDescription,Du har fået en invitation til co-op spil: {0}
Join,Tilslut dig
AccountPermissionRestriction,Denne Xbox-konto har ikke tilladelse til at spille multispiller
AccountCommunityPermissionRestriction,Denne Xbox-konto har ikke tilladelse til at vise eller skabe community-indhold
dont have bloons,Har du ikke Bloons TD 6? Download spillet nu!
launch game,start spillet
copy code,Klik her for at kopiere koden
game already opened,Er spillet allerede startet?
Psi,Psi
Psi Short Description,Psionisk abe
Psi Description,"Et talentfuldt abebarn, Psi bruger hjernens kraft til at destruere bloons indefra."
Psi Level 1 Description,Over enhver afstand eller forhindring kan Psi sende dødbringende vibrationer som destruerer en bloon ad gangen. Kan også spore camo-bloons.
Psi Level 2 Description,Angriber lidt hurtigere
Psi Level 3 Description,Psykisk eksplosion: Psi udsender en bølge af energi som lammer bloons i nærheden i lang tid.
Psi Level 4 Description,Psis angreb kan træffe endnu en ballon hvis den er meget tæt på mål-bloonen
Psi Level 5 Description,De psioniske vibrationer ødelægger bloons hurtigere end normalt.
Psi Level 6 Description,Psis kraftfulde psykiske angreb kan gennemtrænge bly-bloons.
Psi Level 7 Description,Psykisk eksplosion pulserer to gange. Psi kan nu destruere keramiske bloons.
Psi Level 8 Description,Destruktiv resonans gør at bloons som Psi destruerer i sit hoved-angreb skader andre bloons i nærheden.
Psi Level 9 Description,Delt sind. Psi kan nu angribe to bloons på en gang.
Psi Level 10 Description,Psionisk skrig: Psi udsender et lydløst skrig som flipper bloons'ene helt ud.
Psi Level 11 Description,De psioniske vibrationer destruerer bloons endnu hurtigere.
Psi Level 12 Description,Psionisk eksplosion pulserer tre gange.
Psi Level 13 Description,Ikke engang lilla bloons kan modstå Psis mentale angreb.
Psi Level 14 Description,Psis angreb kan træffe endnu en ballon hvis den er meget tæt på mål-bloonen.
Psi Level 15 Description,Destruktiv resonans bliver mere destruktiv
Psi Level 16 Description,De psioniske vibrationer ødelægger bloons meget hurtigt. Psi kan nu angribe BFBs.
Psi Level 17 Description,Delt sind. Psi kan nu angribe tre bloons på en gang.
Psi Level 18 Description,Psis angreb påvirker bloons i en større radius af mål-bloon'sen
Psi Level 19 Description,Destruktiv resonans er rigtig meget mere destruktiv.
Psi Level 20 Description,Psionisk skrig fanger og skader alle bloons på skærmen. Psi kan nu angribe DDTs og ZOMGs.
Sanctuary,Fristed
ft_monkeyteamstitle,Abehold
ft_monkeyteamsdescription,"Tjen bonus-abepenge! Vælg en helt og brug kun de udvalgte aber for at sejre på denne bane, og vind bonus abepenge! Højere sværhedsgrad giver flere abepenge."
ModderWarningPopup,Modificeret klientserver opdaget. Visse spil-modes er utilgængelige.
ModdedClient,Modificeret klientserver
Achievement 117 Name,En præstation af præstationer
Achievement 117 Description,Indsaml 35 præstationer
Achievement 118 Name,En på krogen
Achievement 118 Description,Indfang 3.000 MOAB-klasse bloons vha MOAB-nedbringningsevnen
Achievement 119 Name,Flyttelæs
Achievement 119 Description,Genindsæt 1.000 abertårn med støtte-helikopteren
Achievement 120 Name,Festtrold
Achievement 120 Description,Brug emotes 100 gange i co-op spil
Achievement 121 Name,"Ih, hvor det skinder!"
Achievement 121 Description,Spring 20 gyldne bloons
Achievement 122 Name,Funklende guld
Achievement 122 Description,Spring 100 gyldne bloons
Achievement 123 Name,Guddommelig guld
Achievement 123 Description,Spring 500 gyldne bloons
Achievement 124 Name,Magisk guld
Achievement 124 Description,Spring 50 gyldne bloons kun i magi-abe mode
Achievement 125 Name,Holdkammerat
Achievement 125 Description,Vind 25 sejre med abehold
Achievement 126 Name,Holdkaptajn
Achievement 126 Description,Vind 50 sejre med abehold
Achievement 127 Name,Det ultimative hold
Achievement 127 Description,Vind 100 sejre med abehold
HeroesEtiennePetRoombaName,Etienne Roomba-kæledyr
HeroesEtiennePetRoombaShortName,Etienne Roomba-kæledyr
HeroesEtiennePetRoombaDescription,"Vi ved ikke rigtig om Etienne foretrækker roomba eller katten, men de hører sammen. Gælder kun original Etienne"
HeroesEziliPlacementGlyphName,Ezili hieroglyf materialiserings-placering og opgradering
HeroesEziliPlacementGlyphShortName,Ezili hieroglyf 
HeroesEziliPlacementGlyphDescription,"Beam mig op, Ezili! Gælder kun original Ezili"
TowerPropMonkeyVillageNZFlagName,Abelandsby NZ flag
TowerPropMonkeyVillageNZFlagShortName,Landsby NZ flag
TowerPropMonkeyVillageNZFlagDescription,Lad solguden forsvare vores lands frihed OG abelandsbyerne fra bloons. I alle opgraderinger.
TowerPropMonkeyVillageScotlandFlagName,Abe-landsby skotsk flag
TowerPropMonkeyVillageScotlandFlagShortName,Landsby skotsk flag
TowerPropMonkeyVillageScotlandFlagDescription,Kræv din højlandske uafhængighed med dette abelandsby-flag. I alle opgraderinger.
TowerPropMonkeyVillageBananaFlagName,Abe-landsby banan- flag
TowerPropMonkeyVillageBananaFlagShortName,Landsby banan- flag
TowerPropMonkeyVillageBananaFlagDescription,Gå bananas med alle abers yndlingsfrugt stolt vajende over din abelandsby. I alle opgraderinger.
TowerEffectAllMonkeysPlacementUpgradesFireworksName,Fyrærkeri-placering og opgraderings-effekter.
TowerEffectAllMonkeysPlacementUpgradesFireworksShortName,Fyrværkeri-opgradering FX
TowerEffectAllMonkeysPlacementUpgradesFireworksDescription,Nu kan du fejre hver ny abe og opgradering med festligt fyrværkeri! Samlerobjekt kan fås i begrænset tid!
TowerProjectileWizardMonkeyFireworksName,Troldmands-fyrværkeri
TowerProjectileWizardMonkeyFireworksShortName,Troldmands-fyrværkeri
TowerProjectileWizardMonkeyFireworksDescription,Find din indre Gandalf og giv dine troldmandsaber noget sejt fyrværkeri! Samlerobjekt kan fås i begrænset tid!
BloonsAllBloonsBeardsName,Skæg-bloons
BloonsAllBloonsBeardsShortName,Skæg-bloons
BloonsAllBloonsBeardsDescription,"Bedre kendt som Art Director skæg, gå ikke glip af denne moderigtige ansigtsbehåring"
BloonsAllMOABSepiaName,Gammeldavs MOAB-klasse bloons
BloonsAllMOABSepiaShortName,Gammeldavs MOABs
BloonsAllMOABSepiaDescription,"Din skærm fejler intet, de her MOABs er totalt retro"
CoopEmoteAnimationTumbleweedName,Vindheks-animation
CoopEmoteAnimationTumbleweedShortName,Vindheks
CoopEmoteAnimationTumbleweedDescription,Brug den sammen med fårekylling-lydeffekten for størst mulig effekt!
CoopEmoteIconSkullAndCrossbonesName,Piratflag emote
CoopEmoteIconSkullAndCrossbonesShortName,Piratflag
CoopEmoteIconSkullAndCrossbonesDescription,"Giv varsel om en kommende trussel, eller bare vis din forkærlighed for alt knogle-relateret med denne uhyggelige emote"
CoopEmoteTextActivateName,Aktivér emote
CoopEmoteTextActivateWord,Aktivér!
CoopEmoteTextActivateShortName,Aktivér!
CoopEmoteTextActivateDescription,Slå baglæns-maskinen til på værkstedet! Start MOAB-nedbringningen! Skru op for udslettelses-evnen! Gør din hensigt klar..
GameUIProfileAvatar40Name,Custom Avatar - Harlegwen PFP
GameUIProfileAvatar40ShortName,Harlegwen PFP Avatar
GameUIProfileAvatar40Description,Avatar vinder af Qqertynn
GameUIProfileAvatar41Name,Custom Avatar - Lynbombe-ninja
GameUIProfileAvatar41ShortName,Lynbombe-avatar
GameUIProfileAvatar41Description,Avatar vinder af _Concilliabule_
GameUIProfileAvatar42Name,Custom avatar - Direktør Patch
GameUIProfileAvatar42ShortName,Direktør Patch
GameUIProfileAvatar42Description,Patch har stille og roligt steget i graderne i abe-finansverdenen
GameUIProfileAvatar43Name,Custom Avatar - Fyrværkeri-bombekanon
GameUIProfileAvatar43ShortName,Fyrværkeri-bombekanon
GameUIProfileAvatar43Description,Der er ingen bedre måde at affyre de her raketter! Samlerobjekt kan fås i begrænset tid!
GameUIPowerSkinMonkeyBoostFireworksName,Speciel kraft - Fyrværkeri-abe-boost
GameUIPowerSkinMonkeyBoostFireworksShortName,Fyrværkeri abe-boost
GameUIPowerSkinMonkeyBoostFireworksDescription,Boost dine aber og inspirer dem til storhed med et enormt fyrværkeri-show. Samlerobjekt kan fås i begrænset tid!
GameUIMusicTrackMusicTropicalOctopusMixName,Jukebox: Tropisk karneval - Blæksprutte Mix
GameUIMusicTrackMusicTropicalOctopusMixShortName, Tropisk karneval-blæksprutte
GameUIMusicTrackMusicTropicalOctopusMixDescription,Med lidt techno-rytmer bliver dette karneval nummer din fest-favorit. Skru op!
PlaySocial,Spil socialt
ContentBrowser,Indholds-browser
CoopChallenge,Co-op udfordring
SocialEditChallenge,Modificer udfordring
SocialEditOdyssey,Modificer odyssé
SocialViewBrowser,Se browser
MonkeyTeamWins,Abehold sejre
NewerSaveFound,Nyt gemt data fundet! Du har spillet en nyere udgave a spillet på en anden enhed. Opdater nu hvis du ønsker at spille videre på denne enhed. Er der ingen tilgængelig opdatering? Gå til https://ninja.kiwi/btd6_outofdate for at få hjælp
RacePasses,{0} Løb-pas
FreeEntries,{0} Gratis tilmeldinger
FreeEntry,1 Gratis tilmelding
PrivateCoopLobby,Privat Co-op Lobby
PublicCoopLobby,Co-op Lobby [{0}]
MyOdysseys,Mine Odyssér
OdysseySearch,Søg/Odyssé kode...
Psychic Blast Ability,Psykisk eksplosion
Psychic Blast Ability Description,Psi udsender en bølge af energi som lammer bloons i nærheden i lang tid.
Psionic Scream Ability,Psionisk skrig
Psionic Scream Ability Description,Psi udsender et lydløst skrig som flipper bloons'ene helt ud.
EditorMode,Editor-mode
ConfirmMaps,Baner st bekræfte: {0}
ResetOdysseyProgress,Dette ugyldiggør din odyssé-fremgang. Er du sikker?
OdysseyName,Odyssé navn
OdysseyEditor,Odyssé-editor
MaxPowers,Maks. Kræfter:
MaxMonkeySlots,Maksimum abe-indstikslot:
MaxPowerSlots,Maksimum kræfter-indstikslot:
MapNumber,Bane {0}
ExtremeMode,Ekstrem-mode:
Edit,Rediger
OdysseyInviteReceivedDescription,Du er inviteret til at prøve Odyssé-kode: {0}
SharingOdyssey,Kan du slå Bloons TD 6 Odyssé?
EditorPowersIncluded,Inkluderede kræfter
EditorPowersExcluded,Ikke inkluderede kræfter
OdysseyDescription,Beskrivelse:
SelectDefaultCrew,Vælg standard-hold
Completed,Færdiggjort
BossStart,Start Boss-begivenhed
BloonariusPrime,Bloonarius Prim
OdysseyLockedSubmitButtonDescription,Du har allerede Odyssér
OdysseyLockedShareButtonDescription,For at dele din Odyssé få bevise at den er mulig at gennemføre ved at nå sejrs-skærmen i test-mode.
OdysseyShareAgainExplanation,Del igen når timeren har talt ned. Du må komme igennem Odyssén for at dele den.
ProfileAvatars,Avatarer
ProfileBanners,Bannere
BossNormal,Normal
BossElite,Elite
BloonariusTagLine,Fra sumpens dybder
BloonariusTagLine2,Oppusteren er på spil!
Bloonarius,Bloonarius
TierX,Niveau {0}
HeroesGwendolinPlacementFireballName,Gwendolin Ildkugle-placering og opgradering
HeroesGwendolinPlacementFireballShortName,Gwen Ildkugle
HeroesGwendolinPlacementFireballDescription,"Sørg for, at Gwens ankomst og opgraderinger er tilpas blussende med denne seje ildkugle-effekt! Gælder kun original Gwendolin"
TowerPropMonkeyVillageGermanyFlagName,Abelandsby Tysk flag
TowerPropMonkeyVillageGermanyFlagShortName,Landsby Tysk flag
TowerPropMonkeyVillageGermanyFlagDescription,Alle ved at den tyske abelandsbys teknologi er total ausgezeichnet! Kan ses i alle opgraderinger.
TowerPropMonkeyVillageUKFlagName,Abelandsby UK flag
TowerPropMonkeyVillageUKFlagShortName,Landsby UK flag
TowerPropMonkeyVillageUKFlagDescription,Abelandsbyen er en stolt del af Commonwealth. UK stolthed kan ses i alle opdateringer.
BloonsDDTSkinTronName,Neon DDT
BloonsDDTSkinTronShortName,Neon DDT
BloonsDDTSkinTronDescription,"Strømlinet og farlig, man skulle tro, at denne DDT kom fra fremtiden. Det gør den måske også."
BloonsAllBloonsBucketHatName,Bøllehat bloons
BloonsAllBloonsBucketHatShortName,Bøllehat bloons
BloonsAllBloonsBucketHatDescription,Gør bloons'ene moderigtige med det sidste skrig i digitalt bøllehat-design.
BloonsAllBloonsPopsWaterbloonName,Vand-bloon Pop FX
BloonsAllBloonsPopsWaterbloonShortName,Vand-bloon Pop FX
BloonsAllBloonsPopsWaterbloonDescription,"Perfekt til en hedebølge, gør alle bloons til vand-bloons med denne våde effekt."
CoopEmoteTextNextRoundScaryName,Næste runde! Uhyggeligt!  Tekst emote
CoopEmoteTextNextRoundScaryShortName,Næste runde! Uhyggeligt! 
CoopEmoteTextNextRoundScaryDescription,Advar dine co-op medspillere om næste runde! Især nyttigt omkring Halloween.
CoopEmoteTextNextRoundScaryWord,Næste runde! Uhyggeligt! 
CoopEmoteAnimationFistpumpName,Knytnævepumpe Animation
CoopEmoteAnimationFistpumpShortName,Knytnævepumpe
CoopEmoteAnimationFistpumpDescription,For at fejre et veludført job!
GameUIProfileAvatar44Name,Custom Avatar - SAS-abe
GameUIProfileAvatar44ShortName,SAS-abe Avatar
GameUIProfileAvatar44Description,Avatar vinder af LV-223_Deacon
GameUIProfileAvatar45Name,Custom Avatar - Blueprint
GameUIProfileAvatar45ShortName,Blueprint Avatar
GameUIProfileAvatar45Description,Avatar vinder af dungeon-raided
GameUIProfileAvatar46Name,Custom Avatar - Maskeret Ezili
GameUIProfileAvatar46ShortName,Maskeret Ezili avatar
GameUIProfileAvatar46Description,Også kendt som morgenhår-Ezili
GameUIProfileAvatar47Name,Custom Avatar - Pigkugle
GameUIProfileAvatar47ShortName,Pigkugle avatar
GameUIProfileAvatar47Description,Pigkugler har aldrig set så smarte ud - et must
GameUIProfileBanner1Name,Aerials profil-banner
GameUIProfileBanner1ShortName,Aerials banner
GameUIProfileBanner1Description,Dette pilot-abe inspirerede custom profil-banner efterlader dine modspillere i støvet
GameUIProfileBanner2Name,Ulveånds profil-banner
GameUIProfileBanner2ShortName,Ulveånds banner
GameUIProfileBanner2Description,Hidkald ånderne med Obyns custom ulv profil-banner
GameUIProfileBanner3Name,Fjendtlig ild profil-banner
GameUIProfileBanner3ShortName,Fjendtlig ild banner
