//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Kliknij
CoopEmoteAnimationBikerBonesRageDescription,Czy naprawdę chcesz zbudować swoją świątynię ze wszystkich moich wież? Czaszkowa WŚCIEKŁOOOOOŚĆ!
GameUIProfileAvatar52Name,Niestandardowy awatar – Bumerang
GameUIProfileAvatar52ShortName,Awatar Bumerang
GameUIProfileAvatar52Description,Leworęczny bumerang jest najlepszy!
GameUIProfileAvatar53Name,Niestandardowy awatar – Kapitan piratów
GameUIProfileAvatar53ShortName,Awatar Kapitan piratów
GameUIProfileAvatar53Description,"Ahoj! Chcesz zaimponować innym nicponiom najlepszymi awatarami, jakie można kupić za trofea, nieprawdaż?"
GameUIProfileAvatar54Name,Niestandardowy awatar – Geometryczny Quincy
GameUIProfileAvatar54ShortName,Awatar Geometryczny Quincy
GameUIProfileAvatar54Description,Jestem alfą i omegą. Jestem kwadratowy Quincy
GameUIProfileAvatar55Name,Niestandardowy awatar – Gwiezdna Adora
GameUIProfileAvatar55ShortName,Awatar Gwiezdna Adora
GameUIProfileAvatar55Description,"Komu innemu powierzysz ozdobienie drzewa? No właśnie, Adora nie pozwoli się nikomu zbliżyć! Ograniczony czasowo przedmiot kolekcjonerski!"
GameUIProfileBanner8Name,Baner profilu Kosmiczna podróż
GameUIProfileBanner8ShortName,Baner Kosmiczna podróż
GameUIProfileBanner8Description,Zwycięski baner autorstwa Galaksyz
GameUIProfileBanner9Name,Baner profilu W stronę słońca
GameUIProfileBanner9ShortName,Baner W stronę słońca
GameUIProfileBanner9Description,Zwycięski baner autorstwa Bohrokki
GameUIPowerSkinEnergisingTotemChristmasTreeName,Niestandardowa moc – Energetyzujący totem choinki
GameUIPowerSkinEnergisingTotemChristmasTreeShortName,Energetyzująca choinka
GameUIPowerSkinEnergisingTotemChristmasTreeDescription,Podtrzymaj energię swoich małpek dzięki tej kolorowej choince! Ograniczony czasowo przedmiot kolekcjonerski!
GameUIPowerSkinDartTimeMatrixName,Niestandardowa moc – Czas stop rzutek
GameUIPowerSkinDartTimeMatrixShortName,Czas stop rzutek
GameUIPowerSkinDartTimeMatrixDescription,"To nie jest usterka, jeszcze tego nie znasz, ale obiecujemy, że ci się spodoba"
GameUIMusicTrackMusicWinterChilledMixName,Szafa grająca: Zimowe noce – Chilled Remix
GameUIMusicTrackMusicWinterChilledMixShortName,Zimowe noce Chilled
GameUIMusicTrackMusicWinterChilledMixDescription,"Zrelaksuj się, graj i rozmyślaj o zimowych gwiazdach, słuchając tego fajnego nowego remiksu"
Achievement 134 Name,Dawid kontra Goliat
Achievement 134 Description,Wygraj walkę z bossem bez użycia bohatera
Achievement 135 Name,"Ale ostre, Ninja Kiwi"
Achievement 135 Description,"Ukończ Wyspy przypraw w rundach z naprzemiennymi blonami, mając tylko wieże lądowe"
Achievement 136 Name,Nieurodzaj
Achievement 136 Description,Ukończ Pole kukurydzy w trybie SKiMMPS bez usuwania kukurydzy
Achievement 137 Name,Studenckie pożyczki
Achievement 137 Description,4 x 10^5 (Zadłuż się na 400 000 $)
Achievement 138 Name,Nie brakuje krytycznych informacji
Achievement 138 Description,Zadaj 25 000 krytycznych uderzeń
GameRestartedTitle,Gra rozpoczęła się od nowa
GameContinuedTitle,Gra została wznowiona
GameRestartedDescription,Gra została zrestartowana przez innego gracza.
GameContinuedDescription,Gra została wznowiona przez innego gracza.
EditorAbilityCooldown,Czas odnowienia umiejętności
EditorRemovableCost,Koszt zmienny
AbilityCooldownIncreased,Wydłużono czas odnowienia umiejętności
AbilityCooldownDecreased,Skrócono czas odnowienia umiejętności
RemovableCostIncreased,Zwiększono koszt zmienny
RemovableCostDecreased,Zmniejszono koszt zmienny
Disabled,Wyłączono
ViewStats,Wyświetl statystyki
CloseSlot,Zamknij okno
OpenSlot,Otwórz okno
CalloutBossCrusher,Miażdżyciel bossów
CalloutBossCrusherDesc,{0} pkt obrażeń bossa
CalloutWellRounded,Wszechstronny
CalloutWellRoundedDesc,{0} z 4 różnych typów wież
CalloutEndlessPower,Nieograniczona moc!
CalloutEndlessPowerDesc,Stworzono mistrza stopnia {0}
AnyGame,Dowolna gra
AnyMap,Dowolna mapa
AnyDifficulty,Dowolna trudność
AnyMode,Dowolny tryb
DataConsentTitle,Włącz transfer danych
DataConsentBody,"Cześć! My w Ninja Kiwi musimy wykorzystywać informacje o grze, w tym adres IP, nazwę GameCenter i postępy w grze, aby umożliwić ci granie w odyseje, wyścigi, bossy, kooperację i inne wydarzenia. (Nie będzie to możliwe bez tych danych). Zgadzasz się na to?"
DataConsentAccepted,Dzięki! Życzymy miłej rozgrywki
DataConsentRejected,"Nie ma problemu. Nie wykorzystamy twoich informacji o rozgrywce, więc odyseje, wyścigi, bossowie, kooperacja i przeglądarka treści zostaną wyłączone. Nadal możesz grać w trybie jednego gracza i zmienić to ustawienie w dowolnym momencie w menu Ustawienia."
DataConsentCurrent,Transfer danych: {0}
DataConsentEnabled,Włączono
DataConsentDisabled,Wyłączono
DataConsentReview,Przejrzyj
DataConsentYes,Tak
DataConsentNo,Nie
BionicAugmentation,Bioniczne rozszerzenie
BionicAugmentationDescription,"Gdy turbodoładowanie jest aktywne, bioniczny bumerang może celować w kamuflażowe blony"
XrayUltra,Ultrarentgen
XrayUltraDescription,Ultrawizja pozwala supermałpkom widzieć i strzelać przez blokujące obiekty
BonusGlueGunner,Bonusowy strzelec klejowy
BonusGlueGunnerDescription,Rozpocznij każdą grę z 1 darmowym strzelcem klejowym! (Tylko 1 darmowa małpia wieża na grę)
Achievement 139 Name,Lepka sprawa
Achievement 139 Description,Sklej 500 000 blonów
Achievement 140 Name,Rozrzutnik
Achievement 140 Description,Wydaj 1 000 000 gotówki w jednej rundzie
Achievement 141 Name,Codzienne wyzwanie
Achievement 141 Description,Wygraj 365 unikalnych codziennych wyzwań
Achievement 142 Name,Jeszcze tu wrócę
Achievement 142 Description,Wydaj 1000 MK na kontynuacje lub punkty kontrolne
PetSounds,Dźwięki zwierzaków
UserID,Identyfikator gracza
SunkenColumns,Zatopione kolumny
PsimbalsPsiSkinName,Skórka Psymbały
PsimbalsPsiSkinDescription,Gotowi na koncert?!
HeroesStrikerJonesPetGermanShepherdName,Zwierzak owczarek niemiecki Strikera Jonesa
HeroesStrikerJonesPetGermanShepherdShortName,Zwierzak Strikera Jonesa
HeroesStrikerJonesPetGermanShepherdDescription,"Oczywiście, że Striker ma owczarka! Zabiera potężnego czworonoga do zabawy w aportowanie zabawek wystrzeliwanych z ramienia. Tylko oryginalny Striker Jones."
HeroesETnPlacementBeamDownName,Ustawianie i ulepszania statku kosmicznego ET-n
HeroesETnPlacementBeamDownShortName,Statek kosmiczny ET-n
HeroesETnPlacementBeamDownDescription,"Żadnego telefonowania do domu ani teleportacji tutaj. ET-n uważa, że teleporty lepiej nadają się do wskoczenia do akcji lub dodawania charakterystycznego stylu do ulepszeń. Tylko ET-n."
TowerPetHeliPilotHummingbirdName,Zwierzak koliber pilota helikoptera
TowerPetHeliPilotHummingbirdShortName,Zwierzak koliber pilota helikoptera
TowerPetHeliPilotHummingbirdDescription,"Pilot helikoptera potrafi nieźle unosić się w powietrzu, ale ten piękny koliber pokazuje, że zawsze można coś ulepszyć"
TowerProjectileWizardZombiesName,Blony zombie czarodzieje nekromanci
TowerProjectileWizardZombiesShortName,Blony czarodzieje nekromanci
TowerProjectileWizardZombiesDescription,"Przywołaj zmarłych! Te nekromanckie blony i MOAB-y cieszą się, że w jednej chwili wyślą do grobu atakujące blony."
BloonsAllBloonsDaisyChainName,Blony stokrotki
BloonsAllBloonsDaisyChainShortName,Blony stokrotki
BloonsAllBloonsDaisyChainDescription,"Blony kocha, lubi, szanuje, nie chce, nie dba, żartuje! Świętuj wiosnę tym kwiecistym wiankiem na wszystkich zwykłych blonach. Ograniczony czasowo przedmiot kolekcjonerski!"
BloonsBADSkinWhaleName,WSZyloryb
BloonsBADSkinWhaleShortName,WSZyloryb
BloonsBADSkinWhaleDescription,"Wydaje nam się, że wszystkie wieloryby są dobre, ale ta przytulnie wyglądająca bestia w kolorze magenty jest zdecydowanie WSZylorybem."
CoopEmoteAnimationObynPeaceName,Emotka Obyn hipis
CoopEmoteAnimationObynPeaceShortName,Obyn hipis
CoopEmoteAnimationObynPeaceDescription,"Wybór należy do ciebie – powitaj wszystkim gałązką oliwną, poproś innych, aby dali spokój graczowi 3 lub przeproś za oszukanie aktywowanego. Obyn hipis to odpowiedź. Ograniczony czasowo przedmiot kolekcjonerski!"
CoopEmoteAnimationThinkingMonkeyName,Emotka Zamyślona małpka
CoopEmoteAnimationThinkingMonkeyShortName,Zamyślona małpka
CoopEmoteAnimationThinkingMonkeyDescription,"Zamyślona małpka to dobra małpka. Pracuje, gdy myślisz lub zastanawiasz się, co do jasnej ciasnej ktoś inny miał na myśli."
GameUIProfileAvatar56Name,Awatar wiosennych kwiatów druida
GameUIProfileAvatar56ShortName,Awatar kwiatów druida
GameUIProfileAvatar56Description,"Przywołaj magię wiosny o każdej porze roku dzięki temu pięknemu, kontemplacyjnemu awatarowi druida. Ograniczony czasowo przedmiot kolekcjonerski!"
GameUIProfileAvatar57Name,Awatar podwodny małpki odkrywcy
GameUIProfileAvatar57ShortName,Awatar podwodny odkrywcy
GameUIProfileAvatar57Description,Nie ma lepszego widoku z łodzi podwodnej niż z całą twarzą przyciśniętą do szyby. Podaruj trochę miłości temu podwodnemu awatarowi z szeroko otwartymi oczami.
GameUIProfileAvatar58Name,Awatar Lodowy bałwanek Fusty
GameUIProfileAvatar58ShortName,Awatar Lodowy bałwanek
GameUIProfileAvatar58Description,"Pat Frosty ma lody dla ochłody! Zdecydowanie najlepszy awatar dla tych, co cenią sobie w życiu odrobinę luksusu."
GameUIPowerSkinRoadSpikesFlowerPatchName,Niestandardowa moc – Kwieciste kolce drogowe
GameUIPowerSkinRoadSpikesFlowerPatchShortName,Kwieciste kolce drogowe
GameUIPowerSkinRoadSpikesFlowerPatchDescription,"Kto powiedział, że kolce drogowe muszą wyglądać jak szorstkie, przemysłowe złączki? Jak spróbujesz zerwać te kwiaty, to się pokłujesz!"
GameUIPowerSkinMonkeyBoostSugarRushName,Niestandardowa moc – Cukierkowe doładowanie małpek
GameUIPowerSkinMonkeyBoostSugarRushShortName,Cukierkowe doładowanie
GameUIPowerSkinMonkeyBoostSugarRushDescription,"Ludzie: wszyscy wiemy, że osiągamy lepsze wyniki po spożyciu masy słodyczy. Małpki mają tak samo."
GameUIProfileBanner10Name,Baner profilu Talent artystyczny
GameUIProfileBanner10ShortName,Baner Talent artystyczny
GameUIProfileBanner10Description,Zwycięski baner autorstwa chompypaw
GameUIProfileBanner11Name,Baner profilu Arcanum Necronicom
GameUIProfileBanner11ShortName,Baner Arcanum Necronicom
GameUIProfileBanner11Description,Zwycięski baner autorstwa _Concilliabule_
GameUIProfileBanner12Name,Baner profilu Pracowity jak pszczółka
GameUIProfileBanner12ShortName,Baner Pracowity jak pszczółka
GameUIProfileBanner12Description,"Pszczoły bzykają w drzewach, by wyprodukować miód tylko dla mnie. Ograniczony czasowo przedmiot kolekcjonerski!"
FilterAll,Wszystkie
FilterHeroPlacementUpgrades,Ustaw efekt
FilterHeroPets,Zwierzaki
FilterTowerPlacementUpgrades,Efekt ulepszania
FilterTowerPets,Zwierzaki
FilterProjectiles,Pociski
FilterFlags,Flagi
FilterPopFX,Efekt przekłuwania
FilterAllBloonSkins,Wszystkie skórki blonów
FilterRegularSkins,Skórki blonów
FilterMoabSkins,Skórki MOAB-ów
FilterStandardEmotes,Standardowe emotki
FilterTextEmotes,Emotki z tekstem
FilterSoundEmotes,Emotki z dźwiękiem
FilterFullScreenEmotes,Emotki na pełny ekran
FilterMusicTracks,Utwory muzyczne
FilterAvatars,Awatary
FilterPowerSkins,Skórki mocy
FilterProfileBanners,Banery profilu
FilterMisc,Pozostałe
Blast Chain Ability,Łańcuch wybuchowy
Blast Chain Ability Description,Miny morskie wybuchają szybciej przez krótki czas
TowerSpecial,Specjalna małpka
Geraldo,Geraldo
Geraldo Short Description,Mistyczny sklepikarz
Geraldo Description,Sklepikarz Geraldo sprzedaje szereg przydatnych przedmiotów i eliminuje blony atakiem błyskawicy.
Geraldo Level 1 Description,"Dostępne przedmioty! Wieżyczka strzelnicza, stos starych gwoździ, dziwaczny posąg, słój ogórków. Geraldo posiada również magiczny atak krótkiego zasięgu."
Geraldo Level 2 Description,"Nowy przedmiot! Rzadka figurka Quincy’ego – im dłużej ją posiadasz, tym większą ma wartość!"
Geraldo Level 3 Description,Nowy przedmiot! Mikstura widzialności — zapewnia krótkotrwałe wykrywanie kamuflażu małpiej wieży lub bohaterowi. Zasięg ataku Geralda zwiększa się.
Geraldo Level 4 Description,"Nowy przedmiot! Tubka superkleju – można umieścić ją na torze, aby spowolnić blony."
Geraldo Level 5 Description,Nowy przedmiot! Ostrzałka – zwiększa przebicie małpiej wieży lub bohatera podczas zadawania ostrych obrażeń. Geraldo atakuje szybciej.
Geraldo Level 6 Description,Nowy przedmiot! Znoszona peleryna bohatera – zamienia małpkę z rzutkami rzędu 2 lub niższego w supermałpkę! Te przemienione supermałpki można ulepszyć tylko do rzędu 3.
Geraldo Level 7 Description,"Nowy przedmiot! Pułapka ostrzy – gdy widoczny blon dotknie pułapki, wir ostrzy eksploduje. Główny atak Geralda zwiększa obrażenia i przebija."
Geraldo Level 8 Description,"Nowy przedmiot! Butelka „Ostrego Gerry’ego” – 2,8 miliona jednostek w skali ostrości tego piekielnie pikantnego sosu chili! Przyznaje małpce, bohaterowi lub pomocnikowi ognisty atak na 10 rund."
Geraldo Level 9 Description,"Nowy przedmiot! Nawóz – wybrane farmy bananowe, które produkują widoczne banany, zwiększają produkcję i otrzymują bonus pieniężny w ciągu kilku rund. Zwiększa się główny promień wybuchu ataku Geraldo."
Geraldo Level 10 Description,Nowy przedmiot! Zwierzak królik – jaki słodki króliczek!
Geraldo Level 11 Description,"Nowy przedmiot! Mikstura odmładzania - resetuje wszystkie czasy odnowienia małpiej wieży i bohatera, przywraca 50 żyć. Zwiększa się główne przebicie ataku Geralda, a słój ogórków zapewnia dodatkowe obrażenia przeciwko ufortyfikowanym blonom."
Geraldo Level 12 Description,"Nowy przedmiot! Butelka z dżinem – przywołuje zasilaną plazmą małpę dżina, która działa przez 3 rundy. Dziwaczny posąg może teraz okazjonalnie zastosować krótkie ogłuszenie na mijające widoczne blony klasy MOAB."
Geraldo Level 13 Description,"Wieżyczka strzelnicza strzela szybciej ze zwiększonymi obrażeniami, a stos starych gwoździ zadaje więcej obrażeń."
Geraldo Level 14 Description,Mikstura niewidzialności zapewnia dodatkowy zasięg i trwa dłużej.
Geraldo Level 15 Description,"Ostrzałka od teraz zwiększa obrażenia oprócz przebijania, a pułapka ostrzy tworzy potężniejszy efekt po uruchomieniu."
Geraldo Level 16 Description,"Stos starych gwoździ staje się miną gwoździ, słój ogórków zadaje dodatkowe obrażenia wzmocnionym blonom, a Ostry Gerry zyskuje dodatkowe obrażenia od ognia."
Geraldo Level 17 Description,"Główny atak Geraldo zadaje więcej obrażeń, a superklej działa teraz słabo na blony klasy MOAB."
Geraldo Level 18 Description,"Dżin otrzymuje drugi atak z bliskiej odległości i zadaje dodatkowe obrażenia blonom klasy MOAB. Gdy dziwny posąg wygaśnie, zakrywa pobliskie blony klasy MOAB mistyczną osłoną, powodując obrażenia po przekłuciu."
Geraldo Level 19 Description,"Główny atak Geraldo znacznie się poprawił, a mikstura widzialności zadaje dodatkowe obrażenia kamuflażowym blonom."
Geraldo Level 20 Description,Nowy przedmiot! Totem mocy mistrza – dodaje moc mistrza kolejnemu stworzonemu mistrzowi. Sklep uzupełnia zapasy w pełni! Główny atak Geraldo zadaje większe obrażenia.
Geraldo Shop shortname,Sklep
Geraldo Shop name,Sklep Geraldo
Shooty turret name,Wieżyczka strzelnicza
Shooty turret description,"Trwała, ręcznie wykonana wieżyczka strzelnicza."
Stack of old nails name,Stos starych gwoździ
Stack of old nails description,"Tak, to tylko stos starych gwoździ, ale umieść je w dowolnym miejscu na torze, a z łatwością przebiją te zabłąkane blony."
Creepy idol name,Dziwny posąg
Creepy idol description,"Umieść ten upiorny totem w pobliżu toru, aby wysłać blony tam, gdzie pieprz rośnie."
Jar of Pickles name,Słój ogórków
Jar of Pickles description,"Wypróbuj te pikle na jednej ze swoich małpich wież, a uderzy mocniej, lecz przez chwilę będzie strzelać wolniej."
Rare Quincy action figure name,Rzadka figurka Quincy’ego
Rare Quincy action figure description,"Figurka syna oryginalnego Quincy’ego, w doskonałym stanie, z limitowanej edycji! Wartość jej będzie tylko rosła, więc kup ją teraz!"
See invisibility potion name,Mikstura widzialności
See invisibility potion description,"Bez względu na to, jaką małpę obdarujesz tą niezwykle skuteczną miksturą, z łatwością ujrzy ona kamuflażowe blony! Efekty z czasem przestaną działać."
Tube of amaz-o-glue name,Tubka superkleju
Tube of amaz-o-glue description,"Supermocny! Zastosuj tubkę tego nowoczesnego cudu w dowolnym miejscu na torze i obserwuj, jak kolejna gromadka blonów zwalnia. Trwa 4 rundy lub do wyczerpania."
Sharpening stone name,Ostrzałka
Sharpening stone description,"Naostrz rzutki, przyjacielu! Zastosuj ją do swoich rzutek i ostrzy, a będą ostrzejsze niż kiedykolwiek wcześniej. Wyczerpuje się po 15 rundach."
Worn heros cape name,Znoszona peleryna bohatera
Worn heros cape description,"Wszyscy bohaterowie noszą peleryny! Załóż ją na jedną z małpek z rzutkami i obserwuj przemianę! Stan lekko używany, tylko gdzieniegdzie rozedrgana, eee, to znaczy rozerwana."
Blade trap name,Pułapka ostrzy
Blade trap description,"Umieść ją na torze i zobacz, jak pierwsze blony, które jej dotkną, zostaną pocięte na drobne kawałki przez wielkie wirujące ostrza!"
Gerrys fire hot sauce name,Butelka sosu chili Ostry Gerry
Gerrys fire hot sauce description,"2,8 miliona jednostek blonville'a. Kto skosztuje tego wyjątkowego sosu, przez chwilę będzie zionął ogniem!"
Fertilizer name,Nawóz
Fertilizer description,Uprawiasz na farmie banany? A chcesz mieć więcej? Spryskaj bezpośrednio farmę tym magicznym nawozem i zdobądź więcej bananów już teraz!
Pet rabbit name,Zwierzak królik
Pet rabbit description,"Czasami wszystko, czego potrzebujesz, to słodziutki, malutki króliczek! Albo kilka!"
