//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klikk
TeamsAdvancedSearch,Avansert søk
TeamInvitationDisband,Du må oppløse laget ditt før du godtar en invitasjon
TeamInvitationAcceptWarning,"Hvis du godtar denne invitasjonen, fjernes du fra det nåværende laget ditt"
TeamBrowserAllTeams,Alle lag
TeamBrowserFriendsTeams,Lagene til venner
TeamBrowserTeamRequests,Forespørsler
TeamQuickJoin,Hurtigdeltakelse
TeamBrowserTitle,Lagsøker
TeamBrowserSearchField,Skriv inn lagnavn …
TeamBrowserSearchHideFull,Skjul fulle lag
TeamBrowserSearchHidePrivate,Skjul private lag
TeamBrowserSearchHideClosed,Skjul Kun inviter-lag
TeamEditApplyAll,Ta i bruk alle endringene
TeamScore,Poeng: {0}
TeamRemoveMember,Er du sikker på at du vil fjerne dette medlemmet?
TeamPromoteMember,Er du sikker på at du vil forfremme dette medlemmet?
TeamDemoteMember,Er du sikker på at du vil degradere dette medlemmet?
TeamErrorShowPop,Feil med lag
TeamOwnershipTransferTitle,Overføring av lageierskap
TeamOwnershipTransferFailed,Kunne ikke overføre eierskap til ny spiller
TeamOwnershipTransferWarning,Er du sikker på at du vil overføre eierskapet av laget til dette medlemmet? Denne handlingen kan ikke angres!
TeamLeaveConfirm,Er du sikker på at du vil forlate laget?
TeamDisbandConfirm,Er du sikker på at du vil oppløse laget?
TeamOwnershipLeavingWarning,Overfør eierskapet av laget til et annet medlem før du forlater
TeamNoneFound,Fant ikke laget
CTLocal,Lokal KT
CTGlobal,Global KT
Rank4th,4. plass
Rank4thAnd,4.–10. plass
Rank11thAnd,11.–20. plass
Rank21stAnd,21.–40. plass
Rank41stAnd,41.–60. plass
RewardsTop25,Topp 25
RewardsTop100,Topp 100
DegradedScore,Degradert poengsum
ERR_INVITATION_NO_LONGER_EXISTS,Invitasjonen finnes ikke lenger
TeamMateSetScore,Lagkameraten din har satt en ny rekord å slå!
AnotherTeamSetScore,Et annet lag har satt en ny rekord å slå!
FriendScreenErrorTeamInviteAlreadyMember,Denne spilleren er allerede på laget ditt
TotalTeamScore,Lagets poengsum
CTRulesInfo,"Velkommen til Kaprede territorier! Samarbeid med laget ditt, kapre fliser, sikre dere topplasseringer på ledertavlene og få flotte belønninger!\n\n• Kapringsbilletter brukes kun hvis du kaprer en flis. De oppdateres hver 24. time.\n• Ubrukte kapringsbilletter havner i en billettsamling som kan brukes av andre lagmedlemmer neste dag. Lagbilletter bidrar ikke til den personlige plasseringen på poengtavlen.\n• Når kapret, vil poengsummer for fliser langsomt degraderes over tid frem til flisen blir nøytral.\n• Du tjener KT-poeng når du kaprer en flis og for hver time du klarer å holde fast på en flis. KT-poeng avgjør den personlige plasseringen din samt lagets plassering på poengtavlen, så kapre fliser så ofte du klarer!\n• Bannerfliser er vanskeligere fliser som gir deg mange flere KT-poeng.\n• Relikviefliser gir laget ditt tilgang til kraftfull relikviekunnskap som hjelper deg med å kapre fliser.\n• Flisenes fremdrift lagres etter hver 20. runde, og du kan kun ha én om gangen."
TeamTrophyStoreRulesInfo,"Dette er lagtrofé-butikken der du kan stemme på KT-relikvier som er låst opp, betale for daglige krefter, hendelsesrelikvier og lagstil.\n• Daglige krefter kan låses opp hver dag under KT-hendelsen, og når de er betalt for, kan de brukes av hele laget den dagen.\n• Hendelsesrelikvier blir tilgjengelig under KT-hendelsen, og når de er betalt for, kan de brukes frem til hendelsen er over. De er separate fra relikvier som låses opp via relikviefliser.\n• Kapre relikviefliser og stem deretter på favoritt-relikviekunnskapen din som ble låst opp under denne hendelsen. Du kan velge blant de 7 mest populære relikviene i det endelige utvalget ditt som består av 4 relikvier.\n• Lagstil finansieres av hele laget, og når betalt for, er den tilgjengelig for hele laget ditt. Spillere som forlater laget kan ikke ta med seg lagstilen."
TeamsBanner1Name,Aper i verdensrommet-banner
TeamsBanner2Name,Heltelagøkning-banner
TeamsBanner3Name,Glede-banner
TeamsBanner4Name,Kastestjernehimmel-banner
TeamsBanner5Name,Forente aper-banner
TeamsBanner6Name,Kapret kongerike-banner
TeamsBanner1ShortName,Aper i verdensrommet-banner
TeamsBanner2ShortName,Heltelagøkning-banner
TeamsBanner3ShortName,Glede-banner
TeamsBanner4ShortName,Kastestjernehimmel-banner
TeamsBanner5ShortName,Forente aper-banner
TeamsBanner6ShortName,Kapret kongerike-banner
TeamsBanner1Description,"Ser du også den gigantiske, flytende bananklasen?!"
TeamsBanner2Description,"Kreftene deres er kombinert, og superheltlaget kan gå til verks!"
TeamsBanner3Description,Fornøyde aper er produktive aper.
TeamsBanner4Description,Vi må blende solen med kastestjernene våre!
TeamsBanner5Description,Aper står sterkt sammen.
TeamsBanner6Description,Regjer over andre apelag med dette fantastiske KT-banneret.
TeamsEmblemFrame5Name,Snøfnugg-ramme
TeamsEmblemFrame6Name,Ild-ramme
TeamsEmblemFrame7Name,Magisk ramme
TeamsEmblemFrame8Name,Skogramme
TeamsEmblemFrame9Name,Ingeniørramme
TeamsEmblemFrame5ShortName,Snøfnugg-ramme
TeamsEmblemFrame6ShortName,Ild-ramme
TeamsEmblemFrame7ShortName,Magisk ramme
TeamsEmblemFrame8ShortName,Skogramme
TeamsEmblemFrame9ShortName,Ingeniørramme
TeamsEmblemFrame5Description,En utvilsomt kul ramme til det utvilsomt kule laget ditt!
TeamsEmblemFrame6Description,På tide å skru opp for konkurranseinstinktet!
TeamsEmblemFrame7Description,"En mystisk, magisk ramme."
TeamsEmblemFrame8Description,"Få laget ditt til å skille seg ut fra resten med denne stilige, helnaturlige rammen."
TeamsEmblemFrame9Description,"Nøye planlegging, måling og gjennomføring er nøkkelen til seier!"
TeamsEmblemIcon5Name,Hodeskalle-ikon
TeamsEmblemIcon6Name,MOAB-snikmorder-ikon
TeamsEmblemIcon7Name,Kastestjerne-ikon
TeamsEmblemIcon8Name,Alkymistbrygg-ikon
TeamsEmblemIcon5ShortName,Hodeskalle-ikon
TeamsEmblemIcon6ShortName,MOAB-snikmorder-ikon
TeamsEmblemIcon7ShortName,Kastestjerne-ikon
TeamsEmblemIcon8ShortName,Alkymistbrygg-ikon
TeamsEmblemIcon5Description,"Hold an, mine kjære – sett seil og plyndre territoriene!"
TeamsEmblemIcon6Description,Skap frykt i hjertene til MOAB-er overalt.
TeamsEmblemIcon7Description,"Stille, men dødelige treff er kjennetegnet til lag med dette ikonet."
TeamsEmblemIcon8Description,Skap en storm med dette fantastiske lagikonet.
TeamsEmblemIcon9Name,Gwen-ildikon
TeamsEmblemIcon9ShortName,Gwen-ildikon
TeamsEmblemIcon9Description,Dette er Gwens bidrag til lagikoner. På dette tidspunktet bør vi vel ikke være overrasket? Det er ild. 
TeamsEmblemIcon10Name,Quincy-pilikon
TeamsEmblemIcon10ShortName,Quincy-pilikon
TeamsEmblemIcon10Description,Quincys patenterte målsøkende piler – nå i ikonisk form!
TeamsEmblemIcon11Name,Obyn-treikon
TeamsEmblemIcon11ShortName,Obyn-trekon
TeamsEmblemIcon11Description,Se skogen OG trærne med dette miljøvennlige ikonet.
TeamsEmblemIcon12Name,Sykkelbein-ikon
TeamsEmblemIcon12ShortName,Sykkelbein med tommel opp-ikon
TeamsEmblemIcon12Description,Mr. Brennende fingerknokkel gir tommel opp til det episke laget ditt!
BuildingPropWizardTowerName,Trollmanntårn-bygning
BuildingPropLighthouseName,Fyrtårn-bygning
FlyingPropPhoenixName,Flyvende føniks
FlyingPropMiniAceName,Flyvende mini-ess
WaterPropKrakenName,Sjøuhyre
WaterPropMiniSubName,Mini-ubåt
BasePropKingName,Apekonge
BasePropLighthouseKeeperName,Fyrtårnvokter
BasePropCrashedMoabName,Knust MOAB
BasePropTrainingDummyName,Opplæringsdukke
BasePropCampfireName,Koselig leirbål
BasePropTotemName,Stammetotem
BasePropSatelliteName,Mobil satellitt-kjøretøy
BasePropTortoiseName,Slektsskilpadde
BasePropBattleMonkeyName,Kampape
BuildingPropBattleTowerName,Basetårn-bygning
BuildingPropWizardTowerShortName,Trollmanntårn-bygning
BuildingPropLighthouseShortName,Fyrtårn-bygning
FlyingPropPhoenixShortName,Flyvende føniks
FlyingPropMiniAceShortName,Flyvende mini-ess
WaterPropKrakenShortName,Sjøuhyre
WaterPropMiniSubShortName,Mini-ubåt
BasePropKingShortName,Apekonge
BasePropLighthouseKeeperShortName,Fyrtårnvokter
BasePropCrashedMoabShortName,Knust MOAB
BasePropTrainingDummyShortName,Opplæringsdukke
BasePropCampfireShortName,Koselig leirbål
BasePropTotemShortName,Stammetotem
BasePropSatelliteShortName,Mobil satellitt-kjøretøy
BasePropTortoiseShortName,Slektsskilpadde
BasePropBattleMonkeyShortName,Kampape
BuildingPropBattleTowerShortName,Basetårn-bygning
BuildingPropWizardTowerDescription,Et magisk eventyr venter på det laget som er i stand til å låse opp denne mystiske basen. [Plass for hovedbygning]
BuildingPropLighthouseDescription,Lys opp veien for hele laget ditt med denne opplyste hovedbasen. [Plass for hovedbygning]
FlyingPropPhoenixDescription,"Alle lurer på om det faktisk er en Trollmann-ape der oppe, men har noen tenkt på at kanskje alle Trollmann-aper bare er fønikser som venter på å bli født på nytt? [Plass for luft]"
FlyingPropMiniAceDescription,La Ape-ess holde vakt for laget ditt blant skyene med dette søte mini-esset. [Plass for luft]
WaterPropKrakenDescription,"Slipp løs sjøuhyret! Hersk over bølgene med denne overraskende søte, gigantiske sjøskapningen. [Plass for vann]"
WaterPropMiniSubDescription,Opp med periskopene! Undersøk området med mini-ubåten. [Plass for vann]
BasePropKingDescription,"Velommen til vår fantastiske nye apeb… jeg mener Kapret territorirum! Dette landområdet er ledig, og her myldrer det av bloons! Popp dem og sikre laget ditt dette landområdet. [Plass for øy]"
BasePropLighthouseKeeperDescription,"Den vise, gamle apen passer på fyrtårnet og er alltid på utkikk etter skip som passerer på nattestid. [Plass for øy]"
BasePropCrashedMoabDescription,"Et lag med dyktige apeforskere har allerede tømt dette vraket for nyttig teknologi, så nå ligger det bare der som en advarsel til andre bloons. [Plass for øy]"
BasePropTrainingDummyDescription,"Sørg for at dart-apene dine alltid har noe å gjøre med en doktor Ape-sertifisert, 100 % gjenbrukbar opplæringsdukke! [Plass for øy]"
BasePropCampfireDescription,"Sørg for at laget holder seg varm på kalde netter, eller fortell spøkelseshistorier om Kaprede territorier. [Plass for øy]"
BasePropTotemDescription,Beskytt grensene dine med dette fryktinngytende stammetotemet. [Plass for øy]
BasePropSatelliteDescription,Send stråler med informasjon direkte ned fra verdensrommet med dette mobil satellitt-kjøretøyet som er klart til bruk! [Plass for øy]
BasePropTortoiseDescription,Ikke spør ham om han har noen stammeslektninger – spesielt ikke skilpadder! [Plass for øy]
BasePropBattleMonkeyDescription,"Kapret territorium-ape, klar til å sette i gang! [Plass for øy]"
BuildingPropBattleTowerDescription,Ethvert eventyr i Kapret territorium trenger en solid base. [Plass for hovedbygning]
Neutral,Nøytral
TilesCaptured,Kaprede fliser:
CTPointsEarnt,Opptjente KT-poeng:
TeamTrophiesEarnt,Opptjente lagtrofeer:
RelicsUnlocked,Relikvier som er låst opp:
EventEnded,Hendelsen er avsluttet
NextEventIn,Neste hendelse om:
SecondsAgo,sekunder siden
1MinuteAgo,1 minutt siden
MinutesAgo,{0} minutter siden
1HourAgo,1 time siden
HoursAgo,{0} timer siden
1DayAgo,1 dag siden
XDaysAgo,{0} dager siden
TeamSettingDisbandedTitle,Oppløst
Incoming,Innkommende
Outgoing,Utgående
RoundsCount,Runder: {0}
Relics,Relikvier
TeamFlair,Lagstil
RefreshesIn,Oppdateres om: {0}
DailyPower,Daglig kraft
EventRelic1,Hendelsesrelikvie 1
EventRelic2,Hendelsesrelikvie 2
EventRelic3,Hendelsesrelikvie 3
Vote,Stem
InventoryEmpty,Beholdningen er tom
Blocked,Blokkert
ShowOnlineStatus,Vis online-status
Invisible,Skjult
NexusTitle,Skaperstøtte
NexusDescription,Støtt favorittskaperen din i  Bloons TD6 ved å skrive skaperkoden deres her. Kjøp du gjør i spillet vil støtte skaperen samt Ninja Kiwi.
TimeAttackPowersDisabled,Krefter er deaktivert i Tidsangrep-modusen.
Funded,Finansiert
UnlocksIn,Låses opp om: {0}
TimeRemaining,Gjenværende tid: {0}
TeamInviteAlreadySent,Laginvitasjonen er allerede sendt
Captured,Erobret!
DisabledFriendInvites,Denne spilleren har deaktivert venneinvitasjoner
ItemFunded,Gjenstand finansiert!
Now,Nå
Players,Spillere
LocalRewards,Lokale belønninger
GlobalRewards,Globale belønninger
RewardsTop10,De 10 beste
RewardsTop20,De 20 beste
RewardsTop40,De 40 beste
RewardsTop60,De 60 beste
RewardsTopX,De {0} beste
Rank5th,5. plass
Rank6th,6. plass
TeamName,Lagnavn
CTPoints,KT-poeng
Contribute,Bidrag
ContributeTrophies,Bidragstrofeer
ColorblindEnabled,Fargeblind-modus er aktivert!
ColorblindDisabled,Fargeblind-modus er deaktivert!
Local,Lokal
KickPending,Utkastelse venter
SentryParagonGreen,Grønn sentrert paragon
SentryParagonRed,Rød sentrert paragon
SentryParagonBlue,Blå sentrert paragon
TeamManagement,Lagadministrasjon
ERR_FEATURE_TEMPORARILY_UNAVAILABLE,"Denne funksjonen er ikke tilgjengelig fordi kontoen din er flagget. For mer informasjon, gå til https://ninja.kiwi/ffgpd7"
PlayerWillBeRemoved,Spilleren fjernes fra laget når nåværende KT-hendelse avsluttes
Epic login,Logger på Epic-konto og sjekker tillatelser
FriendScreenErrorTeamInviteMaxInvitesSent,Du har sendt maksimalt antall invitasjoner. Prøv på nytt senere
CantJoinTeamFromSameCT,Kan ikke bli med i et lag fra samme KT-forekomst som du var i forrige gang
RemovedFromTeam,Du er fjernet fra laget. Bli med i et annet lag og prøv på nytt
TileNoLongerAccessible,Denne flisen er ikke lenger tilgjengelig. Oppdatert CT og prøv på nytt
CTTilesHeld,Fliser du har
CTPointsProjected,Beregnet
ConfirmCancelRequest,Er du sikker på at du vil avbryte forespørselen?
CouchCoop,Lokal flerspiller
TeamTicketUsed,Lagbillett er brukt
PersonalTicketUsed,Personlig billett er brukt
TeamScreenCodeHidden,Lagkoden er skjult
ERR_ANOTHER_REQUEST_PENDING,En annen forespørsel venter
QuickJoinSearchForTeam,Søker etter et lag å bli med i …
QuickJoinJoiningTeam,Blir med i lag …
QuickJoinCancel,Avbryter …
MidnightMansion,Nattsvart herskapshus
CoveredGarden,Overbygd hage
MonkeyAce Paragon,Goliat-krigsskip
MonkeyAce Paragon Description,En flyvende skygge av mørke medfører bloons-utslettelse.
CreateOrJoinTeamLeaveFirst,Du er allerede med i et lag.
TeamMsgBannerTileLost,Én av bannerflisene dine ble kapret av {0}. Ta den tilbake nå!
CTPlayerPopupNoData,Gå inn i KT for å laste inn disse dataene
HeroesJoanOfArcAdoraPetDragonName,Jeanne d'Arc-dragekjæledyr
HeroesJoanOfArcAdoraPetDragonShortName,Jeanne d'Arc-dragekjæledyr
HeroesJoanOfArcAdoraPetDragonDescription,Du trenger ikke å være en helgen for å se hvor mye morsommere hvert spill blir med denne lille gulldragen ved din side. Kun Jeanne d'Arc
TowerPetMonkeyAceDragonflyName,Ape-ess-øyenstikkerkjæledyr
TowerPetMonkeyAceDragonflyShortName,Ess-øyenstikkerkjæledyr
TowerPetMonkeyAceDragonflyDescription,Ape-essen sin kvikke kjæledyrøyenstikker 
BloonsDDTSkinSpiderName,Edderkopp-DDT
BloonsDDTSkinSpiderShortName,Edderkopp-DDT
BloonsDDTSkinSpiderDescription,Få DDT til å se ut som en edderkopp som piler nedover banen. Nå ser du den … nå er spillet over! Tidsbegrenset samlergjenstand!
CoopEmoteAnimationPsighName,Psigh-emote
CoopEmoteAnimationPsighShortName,Psigh
CoopEmoteAnimationPsighDescription,"Denne Psigh vil telepatisk formidle den subtile kombinasjonen av skuffelse, irritasjon og oppgivelse. Vi ser deg, spiller 3."
GameUIProfileBanner17Name,Ninja-stormester-profilbanner
GameUIProfileBanner17ShortName,Ninja-stormester-banner
GameUIProfileBanner17Description,Bannervinner av LordTeddington
GameUIProfileBanner18Name,Ingeniørskum-profilbanner
GameUIProfileBanner18ShortName,Ingeniørskum-banner
GameUIProfileBanner18Description,Bannervinner av DREAD_LEAD
GameUIPowerSkinGlueTrapHoneyTrapName,Tilpasset kraft – Honningbie-limfelle
GameUIPowerSkinGlueTrapHoneyTrapShortName,Honningbie-felle
GameUIPowerSkinGlueTrapHoneyTrapDescription,Selv en bloon sakker ned når den er dekket av bier!
GameUIPowerSkinBananaFarmerBananaCostumeName,Tilpasset kraft – Banangårdsarbeider-banankostyme
GameUIPowerSkinBananaFarmerBananaCostumeShortName,Banangårdsarbeider-kostyme
GameUIPowerSkinBananaFarmerBananaCostumeDescription,"Kan det egentlig noen gang bli for mye banan? «Usj, nei!», sier banangårdsarbeideren. Få banangårdsarbeider-banankostymet for å gjøre banangårdsarbeid litt mer bananana."
GameUIProfileAvatar63Name,Tilpasset avatar – Skrik
GameUIProfileAvatar63ShortName,Skrik-avataren
GameUIProfileAvatar63Description,Kan kun ha blitt malt av galeape. Tidsbegrenset samlergjenstand!
GameUIProfileBanner19Name,Lappeteppe-profilbanner
GameUIProfileBanner19ShortName,Lappeteppe-banner
GameUIProfileBanner19Description,Kryp under et lappeteppe med en kopp kakao … eller bare bruk dette koselige banneret.
GameUIProfileBanner20Name,Solstråler-profilbanner
GameUIProfileBanner20ShortName,Solstråler-banner
GameUIProfileBanner20Description,Vis frem den skinnende strategiske briljansen din med dette solfylte banneret.
