//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Klicka
TowerEffectAllMonkeysPlacementUpgradesFireworksName,Fyrverkerieffekter för utplaceringar och uppgraderingar
TowerEffectAllMonkeysPlacementUpgradesFireworksShortName,Uppgraderingsfyrverkeri FX
TowerEffectAllMonkeysPlacementUpgradesFireworksDescription,Fira varje ny apa och uppgradering med detta häftiga fyrverkeri! Samlarföremål under begränsad tid!
TowerProjectileWizardMonkeyFireworksName,Trollkarlsfyrverkerier
TowerProjectileWizardMonkeyFireworksShortName,Trollkarlsfyrverkerier
TowerProjectileWizardMonkeyFireworksDescription,Frammana din inre Gandalf och ge dina Aptrollkarlar detta häftiga fyrverkeri! Samlarföremål under begränsad tid!
BloonsAllBloonsBeardsName,Skäggbloons
BloonsAllBloonsBeardsShortName,Skäggbloons
BloonsAllBloonsBeardsDescription,Denna eleganta ansiktsutsmyckning kallas för Art Director-skägg och får inte missas.
BloonsAllMOABSepiaName,Gammaldags MOAB-klass-Bloons
BloonsAllMOABSepiaShortName,Gammaldags MOAB:er
BloonsAllMOABSepiaDescription,"Du behöver inte justera TV:n, detta är MOAB:er från den gamla skolan"
CoopEmoteAnimationTumbleweedName,Marklöparanimering
CoopEmoteAnimationTumbleweedShortName,Marklöpare
CoopEmoteAnimationTumbleweedDescription,Para ihop detta med ljudet av gräshoppor för maximal effekt!
CoopEmoteIconSkullAndCrossbonesName,Dödskalle-emote
CoopEmoteIconSkullAndCrossbonesShortName,Dödskalle
CoopEmoteIconSkullAndCrossbonesDescription,Varna för hotande fara eller visa helt enkelt din kärlek för beniga saker med denna kusliga emote
CoopEmoteTextActivateName,Aktivera! Emote
CoopEmoteTextActivateWord,Aktivera!
CoopEmoteTextActivateShortName,Aktivera!
CoopEmoteTextActivateDescription,Aktivera backmaskinen i verkstaden! Avfyra MOAB-nedtagaren! Släpp lös tech-terrorn! Gör dig förstådd nu
GameUIProfileAvatar40Name,Anpassad avatar - Harlegwen-PFP
GameUIProfileAvatar40ShortName,Harlegwen PFP-avatar
GameUIProfileAvatar40Description,Avatarvinnare av  Qgertynn
GameUIProfileAvatar41Name,Anpassad avatar - Lysbombninja
GameUIProfileAvatar41ShortName,Lysbombavatar
GameUIProfileAvatar41Description,Avatarvinnare av _Concilliabule_
GameUIProfileAvatar42Name,Anpassad avatar - Bolags-Patch
GameUIProfileAvatar42ShortName,Bolags-Patch
GameUIProfileAvatar42Description,Patch har klättrat i hemlighet på bolagsstegen i Apriket
GameUIProfileAvatar43Name,Anpassad avatar - Fyrverkeribombskytt
GameUIProfileAvatar43ShortName,Fyrverkeribombskytt
GameUIProfileAvatar43Description,Finns det något bättre sätt att skjuta iväg raketer? Samlarföremål under begränsad tid!
GameUIPowerSkinMonkeyBoostFireworksName,Anpassad förmåga - Fyrverkerieffekthöjare för apor
GameUIPowerSkinMonkeyBoostFireworksShortName,Fyrverkeriapeffekthöjare
GameUIPowerSkinMonkeyBoostFireworksDescription,Ge dina apor mer kraft och inspirera dem till stordåd med hjälp av detta enorma fyrverkeri. Samlarföremål under begränsad tid!
GameUIMusicTrackMusicTropicalOctopusMixName,Jukebox: Tropical Carnival - Octopus Mix
GameUIMusicTrackMusicTropicalOctopusMixShortName,Tropisk karnevalbläckfisk
GameUIMusicTrackMusicTropicalOctopusMixDescription,Om du drar igång lite elektroniska rytmer förvandlas denna karnevallåt till en riktig festfavorit. Höj volymen!
PlaySocial,Spela socialt
ContentBrowser,Innehållswebbläsare
CoopChallenge,Samarbetsutmaning
SocialEditChallenge,Redigera utmaning
SocialEditOdyssey,Redigera Odyssé
SocialViewBrowser,Visa webbläsare
MonkeyTeamWins,Vinster för Apteamet
NewerSaveFound,Nyare sparade data hittades! Du har spelat med en nyare version av spelet på en annan enhet. Uppdatera nu för att fortsätta att spela på denna enhet. Finns det ingen uppdatering? Besök https://ninja.kiwi/btd6_outofdate för ytterligare hjälp.
RacePasses,{0} lopp-pass
FreeEntries,{0} gratis försök
FreeEntry,1 gratis försök
PrivateCoopLobby,Privat samarbetslobby
PublicCoopLobby,Samarbetslobby [{0}]
MyOdysseys,Mina Odysséer
OdysseySearch,Sök/Odyssékod...
Psychic Blast Ability,Psykisk stötvåg
Psychic Blast Ability Description,Psi släpper lös en stötvåg som bedövar Bloons i närheten länge.
Psionic Scream Ability,Psioniskt skrik
Psionic Scream Ability Description,Psi släpper loss ett tyst skrik som kastar Bloons i fullständigt kaos.
EditorMode,Redigeringsläge
ConfirmMaps,Kartor att bekräfta: {0}
ResetOdysseyProgress,Detta kommer att ogiltiggöra dina framsteg i din Odyssé Är du säker?
OdysseyName,Odysséns namn
OdysseyEditor,Odysséredigerare
MaxPowers,Maxkrafter:
MaxMonkeySlots,Max. Applatser:
MaxPowerSlots,Max. Kraftplatser:
MapNumber,Bana {0}
ExtremeMode,Extremt läge:
Edit,Redigera
OdysseyInviteReceivedDescription,Du har bjudits in att testa odyssékoden: {0}
SharingOdyssey,Kan du klara denna Bloons TD 6-odyssé?
EditorPowersIncluded,Krafter ingår
EditorPowersExcluded,Utesluten kraft
OdysseyDescription,Beskrivning:
SelectDefaultCrew,Välj standardbesättning
Completed,Slutförd
BossStart,Starta Boss-evenemang
BloonariusPrime,Bloonarius Prime
OdysseyLockedSubmitButtonDescription,Du har redan skickat denna odyssé
OdysseyLockedShareButtonDescription,För att dela din odyssé måste du bevisa att den är möjlig genom att nå segerskärmen i testläge!
OdysseyShareAgainExplanation,Dela igen när tidräknaren räknar ner. Du måste klara odyssén för att kunna dela den.
ProfileAvatars,Avatarer
ProfileBanners,Banners
BossNormal,Normal
BossElite,Elit
BloonariusTagLine,Från de Sumpiga Djupen
BloonariusTagLine2,Uppblåsaren vaknar!
Bloonarius,Bloonarius
TierX,Nivå {0}
HeroesGwendolinPlacementFireballName,Gwendolins eldklot Placera och uppgradera
HeroesGwendolinPlacementFireballShortName,Gwens eldklot
HeroesGwendolinPlacementFireballDescription,Se till att Gwens ankomst och uppgraderingar är lämpligt eldiga med denna häftiga eldklotseffekt! Endast original-Gwendolin
TowerPropMonkeyVillageGermanyFlagName,Apbyns tyska flagga
TowerPropMonkeyVillageGermanyFlagShortName,Tysk byflagga
TowerPropMonkeyVillageGermanyFlagDescription,Alla vet att tysk apbyteknologi är ausgezeichnet! Visas för alla uppgraderingar
TowerPropMonkeyVillageUKFlagName,Apbyns brittiska flagga
TowerPropMonkeyVillageUKFlagShortName,Brittisk byflagga
TowerPropMonkeyVillageUKFlagDescription,Denna apby är stolt medlem av samväldet. Brittisk stolthet visas för alla uppgraderingar
BloonsDDTSkinTronName,Neon-DDT
BloonsDDTSkinTronShortName,Neon-DDT
BloonsDDTSkinTronDescription,Du kan svära på att denna eleganta och dödliga DDT är från framtiden. Kanske är det så.
BloonsAllBloonsBucketHatName,Hög hatt-bloons
BloonsAllBloonsBucketHatShortName,Hög hatt-bloons
BloonsAllBloonsBucketHatDescription,Se till att alla Bloons följer trenden med det senaste inom digitala höga hattar.
BloonsAllBloonsPopsWaterbloonName,Vattenbloonsmäll FX
BloonsAllBloonsPopsWaterbloonShortName,Vattenbloonsmäll FX
BloonsAllBloonsPopsWaterbloonDescription,"Perfekt för att värmeböljor, förvandlar alla Bloons till Vattenbloons med denna blöta häftiga smälleffekt"
CoopEmoteTextNextRoundScaryName,Nästa runda! Läskigt! Text-emote
CoopEmoteTextNextRoundScaryShortName,Nästa runda! Läskigt!
CoopEmoteTextNextRoundScaryDescription,Varna dina samarbetsteammedlemmar om nästa runda! Särskilt användbart runt Halloween.
CoopEmoteTextNextRoundScaryWord,Nästa runda! Läskigt!
CoopEmoteAnimationFistpumpName,Knytnävsanimering
CoopEmoteAnimationFistpumpShortName,Knytnäve
CoopEmoteAnimationFistpumpDescription,För att fira ett väl utfört arbete!
GameUIProfileAvatar44Name,Anpassad avatar - SAS-apa
GameUIProfileAvatar44ShortName,SAS-apavatar
GameUIProfileAvatar44Description,Avatarvinnare av LV-223_Deacon
GameUIProfileAvatar45Name,Anpassad avatar - Ritning
GameUIProfileAvatar45ShortName,Ritningsavatar
GameUIProfileAvatar45Description,Avatarvinnare av dungeon-raided
GameUIProfileAvatar46Name,Anpassad avatar - Maskerad Ezili
GameUIProfileAvatar46ShortName,Maskerad Ezili-avatar
GameUIProfileAvatar46Description,Även känd som morgonhår-Ezili
GameUIProfileAvatar47Name,Anpassad avatar - Spikklot
GameUIProfileAvatar47ShortName,Spikklot-avatar
GameUIProfileAvatar47Description,Spikklot har aldrig sett så häftiga ut - ett måste att ha
GameUIProfileBanner1Name,Aerials profilbanner
GameUIProfileBanner1ShortName,Aerials banner
GameUIProfileBanner1Description,Detta essinspirerade anpassade profilbanner kommer att kretsa runt andra spelare
GameUIProfileBanner2Name,Andevarg-profilbanner
GameUIProfileBanner2ShortName,Andevarg-banner
GameUIProfileBanner2Description,Väck andarna med detta anpassade Obyn Wolf-profilbanner
GameUIProfileBanner3Name,Inkommande-profilbanner
GameUIProfileBanner3ShortName,Inkommande-banner
GameUIProfileBanner3Description,Bär detta BFB-bly Bloonstorm som en anpassad profilbannertrofé över dina segrar
GameUIProfileBanner4Name,Pilstormprofilbanner
GameUIProfileBanner4ShortName,Pilstormprofilbanner
GameUIProfileBanner4Description,"Den vanliga pilen är något helt annat än vanlig i detta eleganta, mörka anpassade profilbanner"
GameUIProfileBanner5Name,Reaktivt profilbanner
GameUIProfileBanner5ShortName,Reaktivt banner
GameUIProfileBanner5Description,Kraft och fara kombineras i detta ubåtsinspirerade anpassade profilbanner
Paragon Title,Uppgradera till Paragon
Paragon Body,Denna åtgärd kommer att skapa en Paragon {0}. Alla andra {1} kommer att förstöras under processen och öka Paragonens kraft!
ft_paragontitle,Paragon-uppgradering aktiverad!
ft_paragondescription,"Uppgradera en av dina nivå 5-apor till en Paragon! Paragoner absorberar alla apor av sin typ, inklusive nivå 5-apor från de andra två vägarna.\n\nParagonens grad påverkas av hur mycket kraft som absorberas vid uppgraderingstidpunkten."
ParagonDegreeText,Paragongrad
DartMonkeys,Pilapor
BoomerangMonkeys,Bumerangapor
BombShooters,Bombskyttar
TackShooters,Nubbskyttar
IceMonkeys,Isapor
GlueGunners,Klisterskyttar
SniperMonkeys,Prickskyttsapor
MonkeySubs,Apubåtar
MonkeyBuccaneers,Piratapor
MonkeyAces,Pilotapor
HeliPilots,Helipiloter
MortarMonkeys,Granatkastarapor
WizardMonkeys,Trollkarlsapor
DartlingGunners,Pilspruteskyttar
SuperMonkeys,Stålapor
NinjaMonkeys,Apninjor
Alchemists,Alkemister
Druids,Druider
BananaFarms,Bananodlingar
EngineerMonkeys,Apingenjörer
SpikeFactorys,Spikfabriker
MonkeyVillages,Apbyar
BossInfoPanelTitle,Bloonbossevenemang
BossInfoPanelDescription,"Var hälsad, tappra äventyrare. Du har trätt in i Bossarnas rike! Lycka till och kom ihåg dessa viktiga regler:\n• Bosseventet börjar när du trycker på Spela, det finns ingen paus mellan rundorna och Bossar kan inte göras långsammare.\n• Smäll alla 5 bossnivåer för att vinna respektive Bossläge, klara Normalt för att låsa upp Elit.\n• Bygg din ekonomi, förbered dina förmågor och använd tiden mellan varje nivå!\n• Vinn troféer eller andra belöningar för varje besegrad nivå, men om du misslyckas med att besegra en nivå på 20 rundor förlorar du.\n• Tävla mot andra spelare i rankat läge och se vem som kan besegra bossen snabbast och vinn fantastiska priser!\n• Den bästa ranking i ensamt läge ELLER samarbetsläge avgör vilka belöningar du vinner.\n• Normalt läge och elitläge har separata topplistor och priser, du kan vinna i båda lägena!"
BloonariusInfoPanelDescription,"Slamkrypande Bloonarius spyr ut Bloons när den skadas och släpper ut enorma Bloonformationer när varje dödskalle på hälsomätaren uppnås.\n\nBloonarius gyttjefyllda skal gör den långsam, men extremt tuff."
NextBossIn,Boss dyker upp om: {0}
ARound,1 Runda
SomeRounds,{0} Rundor
DartMonkey Paragon,Apex Plasma Master
DartMonkey Paragon Description,"Fyll området med Bloonstrimlande plasmavidunderklot, som inte lämnar något kvar bakom sig..."
BoomerangMonkey Paragon,Glav Dominus
BoomerangMonkey Paragon Description,Bloonsen kommer att se mina Glavar och känna skräcken.
TowerEffectAllMonkeysPlacementUpgradesButterfliesName,Fjärilseffekter för placering och uppgradering
TowerEffectAllMonkeysPlacementUpgradesButterfliesShortName,Uppgraderingsfjärilar FX
TowerEffectAllMonkeysPlacementUpgradesButterfliesDescription,Uppskatta naturen och skönheten när varje applacering och uppgradering får fjärilar att flyga omkring.
BossEvent,Bosshändelse
NewCoopGame,Nytt samarbetsspel
Hold,Pausa
Paragon,Paragon
Unlock All (For This Tower),Lås upp alla (för detta torn)
Purchase Tower XP,Köp Torn-XP
Connect Controller,Anslut handkontroll
BossDefeatedYou,{0} har besegrat dig
TierBossDefeated,Nivå {0} smälld
BossDefeated,Du har besegrat {0}!
Set Center,Ändra till mitten
Bombardment Ability,Bombardemang
PlayerStatsHighestRoundCHIMPS,Högsta runda CHIMPANSER
PlayerStatsHighestRoundDeflation,Högsta runda Deflation
Rejoin Coop,Återanslut till samarbetsspel
WaitingEndRound,Väntar på att den pågående rundan ska avslutas
SoftwareCursor,Stor markör
LargeCursor,Extra stor markör
Cursor,Markör
SandboxCursor,Sandlåda/markör
Achievement 128 Name,Vad är det här för nya Bloonerier?
Achievement 128 Description,Besegra en Nivå 1-boss
Achievement 129 Name,Vem är boss?
Achievement 129 Description,Besegra en Nivå 5-boss
Achievement 130 Name,Jag är bossen
Achievement 130 Description,Besegra en Nivå 5-Elitboss
Achievement 131 Name,Förhärligande
Achievement 131 Description,Uppgradera till ett Apparagontorn
Achievement 132 Name,Som en boss
Achievement 132 Description,Smäll 50 Bloonsbossar
Achievement 133 Name,Perfekt Paragon
Achievement 133 Description,Paragonernas Paragon
Log in,Logga in
Twitch Integration,Twitch-integration
Choose my loadout,Välj min loadout
Required polls,Omröstningar som krävs:
Total duration,Total varaktighet:
Duration,Varaktighet
Max winners,Vinnare av omröstningen totalt (för loadout)
Loadout Poll,Loadout-omröstning
Initializing,Initialiserar...
Running poll,Pågående omröstning
XofY,{0} av {1}
Point voting,Poängröstning
Points per vote,Poäng per röst
Bit voting,Bitröstning
Bits per vote,Bits per röst
TwitchTimeout,Det dröjer för länge för Twitch att svara...
TwitchInvalidOperation,Ogiltigt åtgärd... var vänlig försök igen senare.
TwitchAuthFail,Autentisering med Twitch misslyckades! Försök att logga in igen...
TwitchPartnerFail,"Tyvärr, du måste vara en Twitch Affiliate eller Partner för att använda denna funktion."
TwitchError,Något gick fel... Försök igen senare.\n{0}
Monkeys for poll,Apor för omröstning
TwitchSignedInInfo,"Om du är en Twitch-partner eller affiliate, kan du nu skapa loadout-omröstningar! Leta efter Twitch-inställningsknappen medan du spelar."
BestRound,Bästa runda:
NewBestRound,Ny bästa runda!
CurrentRound,Pågående runda:
Select All,Välj alla
btd6_towerandparagonunlock,Fullständigt torn och Paragon-upplåsning
btd6_towerandparagonunlock Description,"Lås upp alla uppgraderingar, inklusive Paragon,  för ett aptorn omedelbart."
btd6_paragonunlock,Paragon-upplåsning
btd6_paragonunlock Description,Lås upp Paragon-uppgradering för ett aptorn omedelbart.
jukeboxskipbossmusic,Hoppa över Bossmusik
GameUIMusicTrackMusicBossBloonariusName,Primal One
GameUIMusicTrackMusicBossBloonariusShortName,Primal One
GameUIMusicTrackMusicBossBloonariusDescription,Primal Boss-ljudspår
Play Again,Spela igen
Retry From Checkpoint,Försök igen från kontrollpunkt
RetryCheckpointText,Försök igen från din senaste kontrollpunkt vid runda {0}?
Retry From Round,Försök igen från runda {0}
EliteBossLockedPopup,Besegra bossen på normal svårighetsgrad för att låsa upp elitsvårighetsgrad.
Custom Odyssey,Anpassad Odyssé
Creating Odyssey,Skapa Odyssé
Creating Challenge,Skapa Utmaning
TheCabin,Skogskojan
VikingSaudaSaudaSkinName,Viking-Saudaskin
VikingSaudaSaudaSkinDescription,Gör yxorna redo!
HeroesChurchillSentaiSkinPetDroneName,Sentai Churchill-dronhusdjur
HeroesChurchillSentaiSkinPetDroneShortName,Sentai Churchill-dron
HeroesChurchillSentaiSkinPetDroneDescription,Den superavancerade spejarvaktposten Y26G gör sin hotbedömning lasersnabbt och ser bra ut samtidigt. Ingen överraskning att vi kallar den SLUG. Endast Sentai Churchill
TowerPetGlueGunnerRatName,Klisterskyttens råtthusdjur
TowerPetGlueGunnerRatShortName,Klisterskyttens råtthusdjur
TowerPetGlueGunnerRatDescription,"Alltid vid klisterskyttens sida, i synnerhet i labbet. Har du någonsin undrat vem som ligger bakom klistrets många egenskaper? Vi tror att det är råttan."
TowerEffectAllMonkeysPlacementUpgradesBatsName,Fladdermuseffekter för placering och uppgradering
