//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Haz clic en
OdysseyInviteReceivedDescription,Te invitaron a probar el código de Odisea: {0}
SharingOdyssey,¿Puedes superar la Odisea de Bloons TD 6?
EditorPowersIncluded,Poderes incluidos
EditorPowersExcluded,Poderes excluidos
OdysseyDescription,Descripción:
SelectDefaultCrew,Elegir equipo predeterminado
Completed,Completado
BossStart,Iniciar evento de jefe
BloonariusPrime,Bloonarius primo
OdysseyLockedSubmitButtonDescription,Ya enviaste esta Odisea.
OdysseyLockedShareButtonDescription,"Para compartir la Odisea, debes demostrar que es posible y compartir la pantalla de victoria en modo de prueba."
OdysseyShareAgainExplanation,Compartir de nuevo cuando el contador llegue a cero. Debes superar la Odisea para compartirla.
ProfileAvatars,Avatares
ProfileBanners,Banderolas
BossNormal,Normal
BossElite,Élite
BloonariusTagLine,De las profundidades pantanosas..
BloonariusTagLine2,¡Surge el inflador!
Bloonarius,Bloonarius
TierX,Nivel {0}
HeroesGwendolinPlacementFireballName,Colocación y mejora de Bola de fuego de Gwendolin
HeroesGwendolinPlacementFireballShortName,Bola de fuego de Gwen
HeroesGwendolinPlacementFireballDescription,Asegúrate de que la llegada de Gwen y las mejoras sean flamígeras con este efecto increíble de bola de fuego. Solo para Gwendolin.
TowerPropMonkeyVillageGermanyFlagName,Bandera de Alemania para la monoaldea
TowerPropMonkeyVillageGermanyFlagShortName,Bandera de Alemania
TowerPropMonkeyVillageGermanyFlagDescription,Todos saben que la tecnología de la monoaldea alemana es ausgezeichnet. Aparece para todas las mejoras.
TowerPropMonkeyVillageUKFlagName,Bandera de Reino Unido para la monoaldea
TowerPropMonkeyVillageUKFlagShortName,Bandera de Reino Unido
TowerPropMonkeyVillageUKFlagDescription,Esta monoaldea es parte orgullosa de la Mancomunidad. El orgullo del Reino unido aparece para todas las mejoras.
BloonsDDTSkinTronName,DDT de neón
BloonsDDTSkinTronShortName,DDT de neón
BloonsDDTSkinTronDescription,Este DDT elegante y letal parece del futuro y quizá lo sea.
BloonsAllBloonsBucketHatName,Bloons con sombrero pescador
BloonsAllBloonsBucketHatShortName,Bloons con sombrero pescador
BloonsAllBloonsBucketHatDescription,Lleva las nuevas tendencias a los bloons con lo último en diseño digital de sombreros.
BloonsAllBloonsPopsWaterbloonName,Efecto sonoro de bloon de agua
BloonsAllBloonsPopsWaterbloonShortName,Efecto sonoro de bloon de agua
BloonsAllBloonsPopsWaterbloonDescription,Es perfecto para cualquier ola de calor. Que todos los bloons sean de agua con este efecto reventador mojado y frío.
CoopEmoteTextNextRoundScaryName,Emote de texto de ¡Próxima ronda terrible!
CoopEmoteTextNextRoundScaryShortName,¡Próxima ronda terrible!
CoopEmoteTextNextRoundScaryDescription,Avísale de la ronda siguiente a los miembros del equipo. Es muy útil cerca de Halloween.
CoopEmoteTextNextRoundScaryWord,¡Próxima ronda terrible!
CoopEmoteAnimationFistpumpName,Animación de choque de puños
CoopEmoteAnimationFistpumpShortName,Choque de puños
CoopEmoteAnimationFistpumpDescription,Para celebrar un trabajo bien hecho.
GameUIProfileAvatar44Name,Avatar personalizado: mono del SAS
GameUIProfileAvatar44ShortName,Avatar de mono del SAS
GameUIProfileAvatar44Description,Avatar ganador de LV-223_Deacon
GameUIProfileAvatar45Name,Avatar personalizado: plano
GameUIProfileAvatar45ShortName,Avatar de plano
GameUIProfileAvatar45Description,Avatar ganador de dungeon-raided
GameUIProfileAvatar46Name,Avatar personalizado: Ezili con máscara
GameUIProfileAvatar46ShortName,Avatar de Ezili con máscara
GameUIProfileAvatar46Description,También conocido como Ezili recién levantado.
GameUIProfileAvatar47Name,Avatar personalizado: bola claveteada
GameUIProfileAvatar47ShortName,Avatar de bola claveteada
GameUIProfileAvatar47Description,Las bolas claveteadas nunca fueron tan geniales. Imprescindible.
GameUIProfileBanner1Name,Banderola de perfil aérea
GameUIProfileBanner1ShortName,Banderola aérea
GameUIProfileBanner1Description,Esta banderola de perfil personaliza inspirada en los aviadores deja en el suelo a la competencia.
GameUIProfileBanner2Name,Banderola de perfil de lobo espiritual
GameUIProfileBanner2ShortName,Banderola de lobo espiritual
GameUIProfileBanner2Description,Despierta a los espíritus con la banderola personalizada del lobo de Obyn.
GameUIProfileBanner3Name,Banderola de perfil de ataque
GameUIProfileBanner3ShortName,Banderola de ataque
GameUIProfileBanner3Description,Usa esta tormenta de plomo de bloons como banderola de perfil y trofeo por tus victorias.
GameUIProfileBanner4Name,Banderola de perfil de tormenta de dardos
GameUIProfileBanner4ShortName,Banderola de tormenta de dardos
GameUIProfileBanner4Description,El dardo común es muy especial con esta banderola de perfil personalizada y oscura.
GameUIProfileBanner5Name,Banderola de perfil reactiva
GameUIProfileBanner5ShortName,Banderola reactiva
GameUIProfileBanner5Description,La potencia y el peligro se combinan en esta banderola de perfil personalizada e inspirada en los submarinos.
Paragon Title,Mejorar a ejemplar
Paragon Body,Esta acción creará un {0} ejemplar. Se destruirán todos los otros {1} en el proceso para alimentar el poder ejemplar.
ft_paragontitle,¡Se activó la mejora ejemplar!
ft_paragondescription,"Mejora uno de los monos de nivel 5 a ejemplar. Estos monos absorben a todos los de su tipo, incluidos los de nivel 5 de las otras dos ramas.\n\nEl grado de ejemplar depende de cuánto poder se absorbe en el momento de la mejora."
ParagonDegreeText,Grado de ejemplar
DartMonkeys,Monos darderos
BoomerangMonkeys,Monos bumeraneros
BombShooters,Lanzabombas
TackShooters,Tiratachuelas
IceMonkeys,Monos gélidos
GlueGunners,Artilleros pegajosos
SniperMonkeys,Monos francotiradores
MonkeySubs,Submoninos
MonkeyBuccaneers,Monos bucaneros
MonkeyAces,Ases aviadores moneriles
HeliPilots,Helipilotos
MortarMonkeys,Monos morteros
WizardMonkeys,Monos magos
DartlingGunners,Artilleros darderos
SuperMonkeys,Supermonos
NinjaMonkeys,Monos ninja
Alchemists,Alquimistas
Druids,Druidas
BananaFarms,Bananales
EngineerMonkeys,Monos ingenieros
SpikeFactorys,Fábricas de clavos
MonkeyVillages,Monoaldeas
BossInfoPanelTitle,Evento de bloon jefe
BossInfoPanelDescription,"Saludos, aventurero. Entraste al reino de los jefes. Buena suerte y no olvides estas reglas importantes.\n• El evento de jefe comienza cuando pulsas Jugar, no hay pausa entre las rondas y los jefes no se pueden demorar.\n• Revienta los 5 grados de jefe para ganar cada modo, supera el normal para desbloquear el élite.\n• Desarrolla la economía, prepara las habilidades y usa el tiempo entre niveles.\n• Gana trofeos u otras recompensas con cada grado que derrotas, pero perderás si no logras vencer un nivel en 20 rondas.\n• Compite contra otros jugadores en el modo clasificado para saber quién supera al jefe más rápido y obtén premios geniales.\n• La mejor categoría que obtengas en un jugador o cooperativo determina las recompensas que ganas.\n• Los modos normal y élite tienen marcadores y premios separados. Puedes ganar en los dos."
BloonariusInfoPanelDescription,El Bloonarius que vive en el limo regurgita Bloonarius cuando recibe daño y vomita grupos enormes de bloons cuando la barra de vida alcanza cada calavera.\n\nLa corteza llena de limo de Bloonarius lo hace muy lento y a la vez muy fuerte.
NextBossIn,El jefe aparece en: {0}
ARound,1 ronda
SomeRounds,{0} rondas
DartMonkey Paragon,Maestro superior del plasma
DartMonkey Paragon Description,Llena el área con bolas enormes de plasma que destruyen a los bloons sin dejar rastro.
BoomerangMonkey Paragon,Dominador de las gujas
BoomerangMonkey Paragon Description,Los bloons verán las gujas y conocerán el miedo.
TowerEffectAllMonkeysPlacementUpgradesButterfliesName,Ubicación de mariposas y efectos de mejoras
TowerEffectAllMonkeysPlacementUpgradesButterfliesShortName,Efecto de mejora de mariposas
TowerEffectAllMonkeysPlacementUpgradesButterfliesDescription,Aprecia la naturaleza y la belleza con cada ubicación de mono y mejora llena de mariposas.
BossEvent,Evento de jefe
NewCoopGame,Partida cooperativa nueva
Hold,Esperar
Paragon,Ejemplar
Unlock All (For This Tower),Desbloquear todo (para esta torre)
Purchase Tower XP,Comprar PE de torre
Connect Controller,Conectar controlador
BossDefeatedYou,{0} te derrotó
TierBossDefeated,Nivel {0} reventado
BossDefeated,¡Derrotaste a {0}!
Set Center,Configurar centro
Bombardment Ability,Bombardeo
PlayerStatsHighestRoundCHIMPS,CHIMPS de ronda más alta
PlayerStatsHighestRoundDeflation,Deflación de ronda más alta
Rejoin Coop,Unirse de nuevo a cooperativa
WaitingEndRound,Esperando que termine la ronda actual
SoftwareCursor,Cursor grande
LargeCursor,Cursor muy grande
Cursor,Cursor
SandboxCursor,Entorno de pruebas/Cursor
Achievement 128 Name,¿Qué es esta nueva bloonería?
Achievement 128 Description,Derrota un jefe de nivel 1.
Achievement 129 Name,¿Quién es el jefe?
Achievement 129 Description,Derrota un jefe de nivel 5.
Achievement 130 Name,Soy el jefe
Achievement 130 Description,Derrota un jefe de nivel 5.
Achievement 131 Name,Apoteosis
Achievement 131 Description,Mejora a una torre ejemplar moneril.
Achievement 132 Name,Como un jefe
Achievement 132 Description,Revienta 50 bloons jefes.
Achievement 133 Name,Ejemplar perfecto
Achievement 133 Description,Ejemplar de ejemplares
Log in,Iniciar sesión
Twitch Integration,Integración con Twitch
Choose my loadout,Elegir equipamiento
Required polls,Encuestas requeridas
Total duration,Duración total:
Duration,Duración
Max winners,Total de ganador de encuestas (para equipamiento)
Loadout Poll,Encuesta de equipamiento
Initializing,Inicializando...
Running poll,Encuesta en curso
XofY,{0} de {1}
Point voting,Votación por puntos
Points per vote,Puntos por voto
Bit voting,Votación por bits
Bits per vote,Bits por voto
TwitchTimeout,Twitch tarda demasiado en responder...
TwitchInvalidOperation,Operación no válida. Inténtalo de nuevo más tarde.
TwitchAuthFail,No se pudo autenticar con Twitch. Trata de iniciar sesión de nuevo.
TwitchPartnerFail,"Disculpa, debes ser afiliado o socio de Twitch para usar esta función."
TwitchError,Hubo un error. Inténtalo de nuevo más tarde.\n{0}
Monkeys for poll,Monos para encuesta
TwitchSignedInInfo,"Si eres socio o afiliado de Twitch, puedes crear encuestas de equipamiento. Busca el botón de configuración de Twitch durante el juego."
BestRound,Mejor ronda:
NewBestRound,Nueva mejor ronda:
CurrentRound,Ronda actual:
Select All,Seleccionar todo
btd6_towerandparagonunlock,Desbloqueo completo de torre y ejemplar
btd6_towerandparagonunlock Description,Desbloquea todas las mejoras incluido el modo ejemplar para una torre moneril al instante.
btd6_paragonunlock,Desbloqueo ejemplar
btd6_paragonunlock Description,Desbloquea la mejora ejemplar para una torre moneril al instante.
jukeboxskipbossmusic,Omitir música de jefe
GameUIMusicTrackMusicBossBloonariusName,Primitivo
GameUIMusicTrackMusicBossBloonariusShortName,Primitivo
GameUIMusicTrackMusicBossBloonariusDescription,Música de jefe primitivo
Play Again,Juega de nuevo
Retry From Checkpoint,Reintentar desde punto de control
RetryCheckpointText,¿Reintentar desde el último punto de control en la ronda {0}?
Retry From Round,Reintentar desde ronda {0}
EliteBossLockedPopup,Derrota al jefe en dificultad normal para desbloquear el modo élite.
Custom Odyssey,Odisea personalizada
Creating Odyssey,Creando odisea
Creating Challenge,Creando desafío
TheCabin,La cabaña
VikingSaudaSaudaSkinName,Aspecto de Sauda vikinga
VikingSaudaSaudaSkinDescription,¡Hachas listas!
HeroesChurchillSentaiSkinPetDroneName,Mascota dron de Churchill sentai
HeroesChurchillSentaiSkinPetDroneShortName,Dron de Churchill sentai
HeroesChurchillSentaiSkinPetDroneDescription,El centinela explorador superavanzado Y26G evalúa las amenazas con la velocidad del láser y además tiene aspecto elegante y atrevido. Solo para Churchill.
TowerPetGlueGunnerRatName,Mascota rata del artillero pegajoso
TowerPetGlueGunnerRatShortName,Mascota rata del artillero pegajoso
TowerPetGlueGunnerRatDescription,"Está siempre a su lado, en especial en el laboratorio. ¿Nunca te preguntaste quién está detrás de las propiedades del pegamento? Creemos que es la rata."
TowerEffectAllMonkeysPlacementUpgradesBatsName,Efectos de mejora y ubicación de murciélagos
TowerEffectAllMonkeysPlacementUpgradesBatsShortName,Efecto de mejora de murciélagos
TowerEffectAllMonkeysPlacementUpgradesBatsDescription,Asusta a los bloons cada vez que colocas una torre mejorada con animaciones increíbles de murciélagos que se lucen mucho en mapas específicos.
TowerPetMonkeyBuccaneerNarwhalName,Mascota narval del mono bucanero
TowerPetMonkeyBuccaneerNarwhalShortName,Mascota narval del bucanero
TowerPetMonkeyBuccaneerNarwhalDescription,Contempla al narval mítico cada vez que colocas un bucanero. ¿Quién más podría gobernar los mares y amigarse con sus leyendas?
TowerProjectileEngineerVampireHunterName,Proyectiles de mecánica cazavampiros
TowerProjectileEngineerVampireHunterShortName,Mecánica cazavampiros
TowerProjectileEngineerVampireHunterDescription,"En caso de que los bloons sean vampiros en secreto, la mecánica puede usar un arsenal de proyectiles para destruirlos: estacas, ajo y ataúdes. Objeto para coleccionistas de edición limitada."
TowerPropMonkeyVillageCanadianFlagName,Bandera de Canadá para la monoaldea
TowerPropMonkeyVillageCanadianFlagShortName,Bandera de Canadá para la aldea
TowerPropMonkeyVillageCanadianFlagDescription,"¡Era hora! Oh, Canadá, que la bandera flamee en todas las monoaldeas. Aparece para todas las mejoras."
BloonsZOMGSkinJackOLanternName,ZOMG de calabaza
BloonsZOMGSkinJackOLanternShortName,ZOMG de calabaza
BloonsZOMGSkinJackOLanternDescription,Sauda ganó la competencia de calabazas talladas como ZOMG con esta pieza y aun así puede cortar tomates. Objeto para coleccionistas por tiempo limitado.
BloonsAllBloonsVampireCapesName,Bloons de capa vampírica
BloonsAllBloonsVampireCapesShortName,Bloons de capa vampírica
BloonsAllBloonsVampireCapesDescription,Viste a los bloons como criaturas de la noche este Halloween. Objeto para coleccionistas por tiempo limitado.
CoopEmoteAnimationPanicMonkeyName,Emote de mono del pánico
CoopEmoteAnimationPanicMonkeyShortName,Mono del pánico
CoopEmoteAnimationPanicMonkeyDescription,"Les habla el anfitrión cooperativo. No entren en pánico. Bueno, ahora sí."
CoopEmoteAnimationBeggingMonkeyName,Emote de mono limosnero
CoopEmoteAnimationBeggingMonkeyShortName,Mono limosnero
CoopEmoteAnimationBeggingMonkeyDescription,"Por favooor, solo necesito 10k para esta mejora. Soy el jugador 3, pero juro que es una coincidencia."
GameUIPowerSkinThriveStonksName,Poder personalizado: acciones prósperas
GameUIPowerSkinThriveStonksShortName,Acciones prósperas
GameUIPowerSkinThriveStonksDescription,"Ben dice que inviertas todo en Bananacoin, el valor llegará a la luna."
GameUIProfileAvatar48Name,Avatar personalizado: mono con máscara de hockey
GameUIProfileAvatar48ShortName,Avatar con máscara de hockey
GameUIProfileAvatar48Description,Cuidado con el mono con máscara de hockey. Objeto para coleccionistas por tiempo limitado.
GameUIProfileAvatar49Name,Avatar personalizado: zeppelin emplomado
