//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Tıkla
Scrapyard,Hurdalık
BloonsAllBloonsCatEarName,Kedi Kulaklı Bloon’lar
BloonsAllBloonsCatEarShortName,Kedi Kulaklı Bloon’lar
BloonsAllBloonsCatEarDescription,Bloon’lar ve kediler genellikle pek uyumlu değildir ama bu sefer mükemmel şekilde uyumlular.
BloonsAllBloonsDisguiseGlassesName,Gizlenme Gözlüklü Bloon’lar
BloonsAllBloonsDisguiseGlassesShortName,Gizlenme Gözlüklü Bloon’lar
BloonsAllBloonsDisguiseGlassesDescription,Bu gizlenmeyi yalnızca bir maymun yer. Bir dakika…
CoopEmoteAnimationPatFlexName,Pat Flex Emojisi
CoopEmoteAnimationPatFlexShortName,Pat Flex
CoopEmoteAnimationPatFlexDescription,"Zekâ ve kas, ne karışım ama! Pat güçlü!"
CoopEmoteAnimationMindBlownName,Aklı Başından Gitme Emojisi
CoopEmoteAnimationMindBlownShortName,Aklı Başından Gitme
CoopEmoteAnimationMindBlownDescription,İş birliği ortağınız inanılmaz derecede muhteşem bir şey yaptığında yalnızca bu emoji uyar!
GameUIProfileAvatar59Name,Süper Maymun Avatarı
GameUIProfileAvatar59ShortName,Süper Maymun Avatarı
GameUIProfileAvatar59Description,Gözlerinde sevgiyi görebilirsin. Şimdi yapman gereken tek şey Süper Maymunun sana mı yoksa yansımasına mı baktığına karar vermek.
GameUIProfileAvatar60Name,Vurucu Jones Avatarı
GameUIProfileAvatar60ShortName,Vurucu Jones Avatarı
GameUIProfileAvatar60Description,Vurucu Jones görev yerinde! En sevdiğin omuzdan ateşlemeli silahı olan Maymundan selamlarla kazanmaya hazır olduğunu göster.
GameUIProfileBanner13Name,Varış Profil Afişi
GameUIProfileBanner13ShortName,Varış Afişi
GameUIProfileBanner13Description,"betapotata, Afiş galibi"
GameUIProfileBanner14Name,Suların Altında Profil Afişi
GameUIProfileBanner14ShortName,Suların Altında Afişi
GameUIProfileBanner14Description,"Cyliia, Afiş galibi"
GameUIMusicTrackMusicSunshineFiestaMixName,Müzik Kutusu: Gün Işığı Serenadı - Fiesta Remiksi
GameUIMusicTrackMusicSunshineFiestaMixShortName,Gün Işığı - Fiesta
GameUIMusicTrackMusicSunshineFiestaMixDescription,Sesi aç ve Gün Işığı Serenadı’nın bu muhteşem remiksinin keyfini çıkar.
CantSubmitEventEnded,Skorun gönderilemiyor, etkinlik çoktan bitti.
CyberQuincySkinNameFull,Siber Quincy
ScientistGwendolinSkinNameFull,Bilim İnsanı Gwendolin
SentaiCaptainChurchillSkinNameFull,Sentai Churchill
BikerBonesSkinNameFull,Biker Bones
ObynOceanGuardianSkinNameFull,Okyanus Koruyucusu
BenJamminSkinNameFull,DJ Benjammin
SmudgeCattSkinNameFull,Lekeli Kedi
FustyTheSnowmanSkinNameFull,Fusty Kardan Adam
WolfpackQuincySkinNameFull,Kurt Sürüsü Quincy
JoanOfArcAdoraSkinNameFull,Joan of Arc Adora
HarlegwenGwendolinSkinNameFull,Harlegwen
OctoJonesStrikerJonesSkinNameFull,Octojones
DreadPirateBrickellAdmiralBrickellSkinNameFull,Ölü Korsan Brickell
ObynMountainGuardianSkinNameFull,Dağ Koruyucusu
SushiBentoBenjaminSkinNameFull,Suşi Bento
ETnEtienneSkinNameFull,ETn
VikingSaudaSaudaSkinNameFull,Viking Sauda
GalaxiliEziliSkinNameFull,Galaxili
PsimbalsPsiSkinNameFull,Zilli Psi
Least Cash,Asgari Nakit:
Least Tiers,Asgari Kademe:
Least Cash Used,Kullanılan Asgari Nakit:
Least Tiers Used,Kullanılan Asgari Kademe:
All Tiers Used,Tüm Kademeler Kullanıldı
All Cash Used,Tüm Nakit Kullanıldı
Tiers Used,Kullanılan Kademe
Cash Used,Kullanılan Nakit
No Score Set,Henüz Skor Yok
Auto,Otomatik
FriendScreenFriends,Arkadaşlar
FriendScreenRequests,Talepler
FriendScreenYourFriendCode,Arkadaşlık Kodun:
FriendScreenOnline,Çevrimiçi
FriendScreenOffline,Çevrimdışı
FriendScreenAccept,Kabul et
FriendScreenDecline,Reddet
FriendScreenBlock,Engelle
FriendScreenFriendText,Arkadaşlar burada görünür. Arkadaşlık kodunu arkadaşların ve ailenle paylaş
RequestDisabledText,Talepler Devre Dışı
FriendScreenEnterCode,Arkadaşlık Kodunu Gir:
FriendScreenAdd,Ekle
FriendScreenSureUnfriend,Bu kullanıcıyı arkadaşlıktan çıkarmak istediğinden emin misin?
FriendScreenSureBlock,Bu kullanıcıyı engellemek istediğinden emin misin?
SpecialConditions,Özel Koşullar
FriendScreenRequestText,Talepler burada görünür. Arkadaşlık kodunu arkadaşların ve ailenle paylaş
FriendScreenCodeHidden,Arkadaşlık kodu gizli
RequestEnabledText,Talepler Etkin
Least Cash No Colon,Asgari Nakit
Least Tiers No Colon,Asgari Kademe
SpecialConditionsColon,Özel Koşullar:
GoalSetForCash,Hedef {0} nakit olarak belirlendi
GoalSetForTiers,Hedef {0} kademe olarak belirlendi
ChallengeCashUsed,Kullandığın: {0} / {1} nakit
ChallengeTiersUsed,Kullandığın: {0} / {1} kademe
ShootyTurret,Vurucu Taret
CreepyIdol,Ürpertici İdol
RareQuincyActionFigure,Nadir Quincy Koleksiyon Figürü
GenieBottle,Peri Şişesi
ParagonPowerTotem,Gözcü Gücü Totemi
FriendScreenErrorRequestFailed,Arkadaşlık Talebi Başarısız
FriendScreenErrorInvalidCode,Geçersiz Arkadaşlık Kodu
FriendScreenErrorBlocked,"Eklemeye çalıştığın oyuncu, arkadaşlık taleplerini engelledi, üzgünüz!"
FriendScreenErrorAlreadySent,Bu oyuncuya zaten arkadaşlık talebi gönderdin
FriendScreenErrorTooManyFriends,Maksimum arkadaş sınırına ulaştın. Mevcut bir arkadaşı çıkararak veya yaptığın bir arkadaşlık talebini iptal ederek yer açabilirsin
MapEditor,Harita Editörü
Jar of Pickles description level 11,Bu turşuları Maymun Atıcılarından birinde denediğinde daha sert vuruş yapacaktır ama bir süre daha yavaş atış yap. Şimdi güçlendirilmiş Bloon’lara yüksek hasar verir!
Creepy idol description level 12,Birkaç Bloon’u (MOAB’ları bile!) korkutup geldikleri yere geri göndermek için bu ürkünç görünümlü idolü parkurun yakınına yerleştir.
Shooty turret description level 13,"Sabit, el yapımı ok fırlatan taret. Yükseltmeler! Daha hızlı atış yapar ve daha fazla hasar verir."
Stack of old nails description level 13,"Evet, sadece koca bir yığın eski çivi ama onları parkurun herhangi bir yerine yerleştirdiğinde başıboş gezen Bloon’ları kolayca patlatırlar."
See invisibility potion description level 14,Bu son derece tesirli iksiri hediye ettiğin Maymun Kamuflajlı Bloon’ları kolayca görebilir! Etkiler kaybolur. Şimdi yüksek menzil sağlar ve çok daha uzun sürer!
Sharpening stone description level 15,"Şu okları keskinleştir, dostum! Bunu oklarına ve bıçaklarına uygula; her zamankinden daha keskin olsunlar ve daha fazla hasar versinler."
Blade trap description level 15,Bunu parkura yerleştirip ona dokunan ilk Bloon’ların büyük dönen bıçaklar tarafından parçalanışını izle! Daha yeni ve daha güçlü bir model!
Stack of old nails description level 16,"Evet, sadece bir DEVASA ÇİVİ MADENİ ama onu parkurun herhangi bir yerine yerleştirdiğinde başıboş gezen Bloon’ları kolayca patlatır."
Jar of Pickles description level 16,Bu turşuları Maymun Atıcılarından birinde denediğinde daha sert vuruş yapacaktır ama bir süre daha yavaş atış yap. Şimdi güçlendirilmiş Bloon’lara ÇOK DAHA yüksek hasar verir!
Gerrys fire hot sauce description level 16,"2,8 milyon Bloonvil birimi. Bu özel sosun tadına bakan bir süreliğine ateş püskürtür! Şimdi ekstra yakıcılık."
Tube of amaz-o-glue description level 17,Gerçekten muhteşem! Parkurun herhangi bir yerinde bu modern mucizeden bir tüp uygulayıp bir sonraki Bloon grubunun ve hatta MOAB’ların yavaşlamasını izle.
Genie bottle description level 18,"Bu parlak altın şişeden bir Peri Maymun çağır ama dikkatli ol, bu sonsuza dek sürmez! (Dilekler satın alma işlemine dahil değildir). Şimdi MOAB’lara ekstra saldırı ve daha fazla hasar içerir."
Creepy idol description level 18,Birkaç Bloon’u korkutup geldikleri yere geri göndermek için bu ürkünç görünümlü idolü parkurun yakınına yerleştir. Mistik Örtü yükseltmesi açıldı!
See invisibility potion description level 19,Bu son derece tesirli iksiri hediye ettiğin Maymun Kamuflajlı Bloon’ları kolayca görebilir ve onlara daha fazla hasar verebilir! Etkiler kaybolur.
FriendScreenSureUnBlock,Bu kullanıcıyı engellemek istediğinden emin misin?
None,Yok
Knowledge Requirement Monkey Money,Yeterli Maymun Parası yok. Daha fazla almak ister misin?
Knowledge Requirement Points,Yeterli Bilgi Puanı yok
InviteFriend,Arkadaş Davet Et
InvitedToJoin,"{0}, seni iş birliği oyununa davet etti. Katılmak istiyor musun?"
HeroesMountainObynPetBalfrogName,Balfrog Evcil Hayvan
HeroesMountainObynPetBalfrogShortName,Balfrog Evcil Hayvan
HeroesMountainObynPetBalfrogDescription,"Dumanlı dağların altındaki karanlık madenlerden selam olsun, senin yanan alevin olmak için duyduğu o büyük istekle bu küçük kurbağa herhangi bir sohbeti gerçekten neşelendirebilir. Yalnız Dağ Obyn’i"
TowerPropMonkeyVillagePrideFlagName,Maymun Köyü Gökkuşağı Bayrağı
TowerPropMonkeyVillagePrideFlagShortName,Gökkuşağı Köyü Bayrağı
TowerPropMonkeyVillagePrideFlagDescription,Maymun Köylerin için bu muhteşem Gökkuşağı bayrağıyla çeşitliliği ve seçimleri kutla. Tüm yükseltmeler için gösterir
CoopEmoteTextNeedMoreName,Daha Fazla Gerekir! Metin Emojisi
CoopEmoteTextNeedMoreShortName,Daha Fazla Gerekir!
CoopEmoteTextNeedMoreDescription,"Daha fazla nakde, Bloon’a, savunmaya veya yiyeceğe ihtiyacın olduğunda; bu emoji her durum için harika."
CoopEmoteTextNeedMoreWord,Daha Fazla Gerekir!
CoopEmoteAnimationRainbowName,Gökkuşağı Animasyonu
CoopEmoteAnimationRainbowShortName,Gökkuşağı
CoopEmoteAnimationRainbowDescription,Şimdi herkes birlikte şarkı söylüyor! Gökkuşağının üzerinde bir yer...
GameUIProfileAvatar61Name,Okçu Maymun Avatarı
GameUIProfileAvatar61ShortName,Okçu Maymun Avatarı
GameUIProfileAvatar61Description,Herkes yüce Okçuya şükretsin! Bloon’ların Patlangacı!
GameUIProfileAvatar62Name,Geraldo Avatarı
GameUIProfileAvatar62ShortName,Geraldo Avatarı
GameUIProfileAvatar62Description,"Merhaba dostum, dikkatini tüylü beyaz bir tavşana çekebilir miyim? Tamamen zararsız, sence de öyle değil mi?"
GameUIProfileBanner15Name,OG BTD Tarzı Afiş
GameUIProfileBanner15ShortName,OG BTD Tarzı Afiş
GameUIProfileBanner15Description,"LordTeddington, Afiş galibi"
GameUIProfileBanner16Name,Ormanın Ruhu Afişi
GameUIProfileBanner16ShortName,Ormanın Ruhu Afişi
GameUIProfileBanner16Description,"tricky999tricky, Afiş galibi"
GameUIMusicTrackMusicTribesJaloonMixName,Müzik Kutusu: Kabileler ve Felaketler - Jaloon Remiks
GameUIMusicTrackMusicTribesJaloonMixShortName,Kabileler - Jaloon
GameUIMusicTrackMusicTribesJaloonMixDescription,Sevilen Kabileler ve Felaketler parçasının bu enerji yüklü remiksiyle dans pistinde yerini al
Quarry,Taş Ocağı
VoidoraAdoraSkinName,Voidora Dış Görünümü
VoidoraAdoraSkinDescription,Hiçlikten geldim
VoidoraAdoraSkinNameFull,Voidora
InappropriateTeamName,Lütfen daha uygun bir Takım adı seç
TeamNameNotUnique,Bu ad zaten alınmış! Lütfen başka bir ad seç veya rakam eklemeyi dene
TeamNameTooShort,Takım adlarının {0}-{1} karakter uzunluğunda olması gerekir
SentryParagonChild,Değiştirilmiş Kusursuz Gözcü
LoginwithEpic,Epic ile oturum aç
EnterLinkingCode,Bağlanmak için bir bağlantı kodu gir:
Connect,Bağlan
PrivacyPolicy,Gizlilik Politikası
TermsOfService,Hizmet Şartları
ConfirmAgeInfo,Devam etmek için lütfen şu anki yaşını onayla. Ek çevrimiçi özellikleri oynamak ve verileri yedeklemek için oturum açman gerekir.
AgeQuestion,{0} yaşında veya daha büyük müsün?
AgeYes,"Evet, {0} yaşımdayım veya daha büyüğüm."
AgeNo,"Hayır, {0} yaşından küçüğüm."
PersonalAccountInfo,"Kişiye özgü bilgiler kullanmadan bir Kişisel Hesap oluşturabilirsin. 
‘Kabul Ediyorum’u seçerek ebeveynin veya vasin Ninja Kiwi Gizlilik Politikasını ve Hizmet Şartlarını seninle birlikte incelemiş, Gizlilik Politikası ile Hizmet Şartlarına ve oyun deneyimin ile kişiye özgü olmayan hesap bilgilerini hizmetimizde saklamamıza (ABD’de bulunan sunucuların kullanımını içerir) onay vermiş sayılır."
AgreeCreateAccount,"Kabul Ediyorum, Bir Hesap Oluştur"
NormalAccountInfo,Devam ederek Ninja Kiwi Gizlilik Politikasına ve Hizmet Şartlarına ve oyun deneyimin ile hesap bilgilerini hizmetimizde saklamamıza (ABD’de bulunan sunucuların kullanımını içerir) onay vermiş sayılırsın.
LoggedInAs,Şu kullanıcı olarak oturum açıldı:
EpicAccountId,Epic Hesap Kimliği:
NeedHelp,Yardıma ihtiyacın var mı?
ContactSupport,Destek Ekibine Ulaş
DeleteAccountText,"Hesabının silinmesi, tüm bulut verilerine ve ilerlemene erişimini kaybedeceğin anlamına gelir. 
Lütfen hesabını silmek için aşağıda bulunan kutuya Kullanıcı Kimliğini (aşağıdaki gibi) gir. Hesabının kaldırılması 48-72 saat sürebilir."
EnterUserId,Kullanıcı Kimliğini buraya gir
GetAllButton,Tümünü Al
GetAllConfirmation,Lütfen tüm mevcut Kahramanları ve Dış Görünümleri almak için Maymun Paranı harcamak istediğini onayla!
DeleteAccount,Hesabı Sil
CtLeaderboardTitle,Çekişmeli Bölge Lider Tabloları
LocalTeams,Yerel Takımlar
LocalPlayers,Yerel Oyuncular
GlobalTeams,Global Takımlar
GlobalPlayers,Global Oyuncular
CreateTeamPanelTitle,Takım Oluştur
CreateTeamTitle,Bir Takım Oluştur
CreateTeamNameDescription,Takım Adı:
CreateTeamNameInputField,Takım adını gir...
CreateTeamCostDescription,Bir takım oluşturmak için {0} harca
CreateTeamFailed,Takım oluşturulamadı
EditTeamPanelTitle,Takımı Düzenle
EditTeamTitle,Takımını Düzenle
EditTeamNameDescription,Takım Adını Düzenle:
TeamEmblemTitle,Amblem
TeamBannerTitle,Afiş
TeamEmblemsTitle,Amblemler
TeamBannersTitle,Afişler
TeamGeneralTitle,Umumi
TeamSettingPublicTitle,Genel
TeamSettingPrivateTitle,Özel
TeamSettingClosedTitle,Yalnızca Davetle
TeamJoin,Katıl
TeamApply,Başvur
RecentWin,Son Galibiyet:
TileHeldBy,Karoyu Tutan:
Score,Skor
ScoreDegradesIn,Skorun Azalmasına Kalan:
NeutralOwnerIn,Tarafsız Sahipliğe Kalan:
Tile,Karo: {0}
RelicTile,Yadigâr Karosu
BannerTile,Afiş Karosu
BonusCTPoints,Bonus ÇB Puanları!
DailyRelics,Günlük Güç ve Etkinlik Yadigârları
HeldRelics,Ele Geçirilen Yadigârlar
Tickets,Biletler:
PurchaseTickets,Bilet Satın Al
MoreTicketsIn,Daha Fazla Bilete Kalan Süre:
CTTitleName,Çekişmeli Bölge
CTTeamStore,Takım Mağazası
CTMyTeam,Takımım
CTTeamTrophies,Takım Ganimetleri
CTTickets,Biletler
CTTeamTickets,Takım Biletleri
CTNextTicketsIn,Sonraki Biletlere Kalan Süre:
CTTileSearch,Karo Arama
CTOwner,Sahip:
CTScore,Skor:
CTNeutralIn,Tarafsız olmasına kalan:
CTPosition,Sıralama:
CTUncaptured,Ele Geçirilmemiş
CTCheckpoint,Kontrol Noktasına Ulaşıldı!
CTNewScore,Yeni Skor!
CTBestScore,En İyi Skor
TimeAttack,Zaman Saldırısı
ERR_NOT_LOGGED_IN,Oturum Açılmadı
ERR_ALREADY_PENDING,Talep Hâlihazırda Bekliyor
ERR_FEATURE_UNAVAILABLE,"Özellik Yok, daha sonra tekrar dene"
ERR_REQUEST_PARAMETER_MISSING,Parametre eksik
ERR_GUILD_FULL,Takım dolu
ERR_GUILD_NAME_EXISTS,Takım adı hâlihazırda var
ERR_GUILD_DOES_NOT_EXIST,Takım mevcut değil
ERR_GUILD_CANNOT_DISBAND,Takım dağıtılamaz
ERR_GUILD_PERMISSION_DENIED,İzin reddedildi
ERR_GUILD_CANNOT_UPDATE_OWNER_DENIED,"Takım sahibi güncellenemedi, izin reddedildi"
ERR_GUILD_CANNOT_UPDATE_OWNER_NONE,Takım sahibi güncellenemedi
ERR_TIMEOUT,"Talep zaman aşımına uğradı, lütfen tekrar dene"
CreateNewTeamText,Yeni bir Takım Oluşturulsun Mu?
ParagonLimitReached,Gözcü Sınırına Ulaşıldı
TeamMsgNewMayor,"{0}, yeni Belediye Başkanı!"
TeamMsgPlayerJoined,"{0}, Takıma katıldı"
TeamMsgPlayerLeft,"{0}, Takımdan ayrıldı"
TeamMsgPlayerKicked,"{0}, {1} tarafından Takımdan atıldı."
TeamMsgPlayerDemoted,"{1}, {0} adlı oyuncunun rütbesini düşürdü."
TeamMsgRegularTileCaptured,"{0}, bir Normal Karo ele geçirdi. Harika iş!"
TeamMsgBannerTileCaptured,"{0}, bir Afiş Karosu ele geçirdi. Muhteşem bir iş!"
TeamMsgRelicTileCaptured,"{0}, bir Yadigâr Karosu ele geçirdi ve şunu Takım Yadigâr listesine ekledi: {1}. Aferin!"
TeamMsgRegularTileCapturedOtherGuild,"{0}, şu oyuncudan bir Normal Karo ele geçirdi: {1}. Harika iş!"
TeamMsgBannerTileCapturedOtherGuild,"{0}, şu oyuncudan bir Afiş Karosu ele geçirdi: {1}. Muhteşem bir iş!"
TeamMsgRelicTileCapturedOtherGuild,"{0}, {2} adlı oyuncudan bir Yadigâr Karosu ele geçirdi ve şunu Takım Yadigâr listesine ekledi: {1}. Aferin!"
TeamMsgRelicTileLost,Yadigâr Karosu kaybedildi! {0} artık mevcut değil.
TeamMsgPlayerPromoted,"{0}, {1} tarafından Belediye Başkan Yardımcısı olarak atandı"
TeamMsgTeamCreated,"{0} Takımı, {1} tarafından oluşturuldu"
TeamMsgNewFocusMarker,{0} tarafından Yeni Odak Belirteci ayarlandı
TeamMsgFlairUnlocked,{0} tamamen finanse ediliyor! İnanılmaz bir gayret!
TileCaptured,Karo Ele Geçirildi
TileNotCaptured,Karo Ele Geçirilemedi
TicketUsed,Bilet Kullanıldı
NoTicketUsed,Bilet Kullanılmadı
ScoreToBeat,Ulaşılması Gereken Skor:
YourScore,Senin Skorun:
PublicWithBrackets,(Genel)
PrivateWithBrackets,(Özel)
CTRelicWon,Yadigâr Kazanıldı!
CTBonusPoints,Bonus Puanları!
Teams,Takımlar
CaptureScoreMissed,Ele Geçirme Skoru Kaçırıldı!
CaptureScoreNear,Uyarı! Ele Geçirme Skoruna Yaklaşıldı
CtInternalError,"Bir iç hata oluştu, lütfen daha sonra tekrar dene"
CtServerError,Çekişmeli Bölge sunucusu şu anda talebini işleme koyamıyor. Lütfen daha sonra tekrar dene
Achievement 143 Name,Fethedilmiş Bölge
Achievement 143 Description,Diğer oyuncuların 5 Karosunu Ele Geçir
Achievement 144 Name,İmparatorluklar Sahnesi
Achievement 144 Description,50 Karoyu Ele Geçir
Achievement 145 Name,Bölge Örnekleyici
Achievement 145 Description,"Şunlardan birer tane ele geçir: Patron, Zaman Saldırısı, Asgari Kademe, Asgari Nakit Karoları"
CTLeastCashDescription,"Karoyu kazanmak için mümkün olan en az nakdi kullan. Nakit harcamasına, ücretli Kahraman yükseltmelerinin yanı sıra, Maymun Atıcı yerleştirmesi ve yükseltmeler de dahildir. Bir Maymunun satılması harcanan nakdi azaltmaz."
CTLeastTiersDescription,Karoyu kazanmak için mümkün olan en az sayıda Maymun Atıcıyı ve Yükseltmeyi kullan. Yerleştirilen her bir Maymun ve Kahraman ve her bir yükseltme bir Kademe olarak sayılır. Ücretli Kahraman yükseltmeleri de bir Kademe olarak sayılır. Bir Maymunun satılmas
