//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Napsauta
ERR_TIMEOUT,"Pyyntö aikakatkaistiin, yritä uudelleen"
CreateNewTeamText,Luo uusi ryhmä?
ParagonLimitReached,Perikuvien raja saavutettu
TeamMsgNewMayor,{0} on uusi pormestari!
TeamMsgPlayerJoined,{0} liittyi ryhmään
TeamMsgPlayerLeft,{0} poistui ryhmästä
TeamMsgPlayerKicked,{1} poisti pelaajan {0} ryhmästä.
TeamMsgPlayerDemoted,{1} alensi pelaajan {0}.
TeamMsgRegularTileCaptured,{0} kaappasi tavanomaisen ruudun. Hyvää työtä!
TeamMsgBannerTileCaptured,{0} kaappasi banneriruudun. Mahtavaa!
TeamMsgRelicTileCaptured,{0} kaappasi reliikkiruudun ja lisäsi reliikin {1} ryhmän reliikkilistaan. Niin sitä pitää!
TeamMsgRegularTileCapturedOtherGuild,"{0} kaappasi tavanomaisen ruudun, jonka omisti {1}. Hyvää työtä!"
TeamMsgBannerTileCapturedOtherGuild,"{0} kaappasi banneriruudun, jonka omisti {1}. Mahtavaa!"
TeamMsgRelicTileCapturedOtherGuild,"{0} kaappasi reliikkiruudun, jonka omisti {2}, ja lisäsi reliikin {1} ryhmän reliikkilistaan. Niin sitä pitää!"
TeamMsgRelicTileLost,Reliikkiruutu menetettiin! {0} ei ole enää saatavilla.
TeamMsgPlayerPromoted,{1} ylensi pelaajan {0} apulaispormestariksi
TeamMsgTeamCreated,{1} loi ryhmän {0}
TeamMsgNewFocusMarker,{0} asetti uuden fokusmerkin
TeamMsgFlairUnlocked,{0} on rahoitettu kokonaan! Mahtavaa työtä!
TileCaptured,Ruutu kaapattu
TileNotCaptured,Ruutua ei ole kaapattu
TicketUsed,Tiketti käytetty
NoTicketUsed,Tikettiä ei käytetty
ScoreToBeat,Voitettava pistemäärä:
YourScore,Omat pisteesi:
PublicWithBrackets,(Julkinen)
PrivateWithBrackets,(Yksityinen)
CTRelicWon,Reliikki voitettu!
CTBonusPoints,Bonuspisteitä!
Teams,Ryhmät
CaptureScoreMissed,Valtauspisteitä ei saavutettu!
CaptureScoreNear,Varoitus! Valtauspisteitä lähestytään
CtInternalError,"Tapahtui sisäinen virhe, yritä myöhemmin uudelleen"
CtServerError,Kilpaillun alueen serveri ei voi käsitellä pyyntöä tällä hetkellä. Yritä myöhemmin uudelleen
Achievement 143 Name,Vallattu territorio
Achievement 143 Description,Valtaa 5 ruutua muilta pelaajilta
Achievement 144 Name,Imperiumin nousu
Achievement 144 Description,Valtaa 50 ruutua
Achievement 145 Name,Saisiko olla territorionäyte?
Achievement 145 Description,"Valtaa 1 kutakin: Pomo-, aikahyökkäys-, vähiten tasoja ja vähiten rahaa -ruutu"
CTLeastCashDescription,Käytä ruudun valtaamiseen mahdollisimman vähän rahaa. Kulutetuksi rahaksi lasketaan apinatornin asettaminen ja päivittäminen sekä sankarin maksulliset päivitykset. Apinan myyminen ei pienennä kulutetun rahan määrää.
CTLeastTiersDescription,Käytä ruudun valtaamiseen mahdollisimman vähän apinatorneja ja päivityksiä. Kukin ruudulle asetettu apina ja sankari lasketaan yhdeksi tasoksi. Sankarin maksulliset päivitykset lasketaan myös tasoksi. Apinan myyminen ei vähennä tasojen määrää.
CTTimeAttackDescription,"Käytä ruudun valtaamiseen mahdollisimman vähän aikaa. Kuten kilpailutapahtumassa, kello lähtee käyntiin, kun painat Pelaa. Lähettää seuraavat kierrokset matkaan aikaisemmin, mutta ole varovainen! Aikahyökkäyksien aikana ei tallenneta, joten älä lopeta pel"
CTBossDescription,"Valtaa ruutu päihittämällä pomo mahdollisimman nopeasti. Kuten pomotapahtumassa, kello käynnistyy, kun pomo ilmaantuu ruudulle. Kilpailtujen alueiden pomot ovat joko pelkästään tasolla 1 tai tasoilla 1 ja 2 riippuen kunkin ruudun kierrosmäärästä. Keskitä "
CtEventEnded,Valitettavasti tapahtuma on päättynyt
RelicStartingStash,Alkujemma
RelicExtraEmpowered,Vielä vahvempi
RelicBoxOfChocolates,Suklaarasia
RelicBoxOfMonkey,Apinarasia
RelicMarchingBoots,Marssikengät
RelicHeroBoost,Sankaritehoste
RelicBiggerBloonSabotage,Suurempi bloonisabotaasi
RelicRoundingUp,Vinopino
RelicManaBulwark,Manamuuri
RelicRegeneration,Regeneraatio
RelicRestoration,Parannus
RelicDurableShots,Kestävät ammukset
RelicAlchemistTouch,Alkemistin kosketus
RelicDeepHeat,"Poppaa, poppaa"
RelicSharpsplosion,Teräpläjäys
RelicRoyalTreatment,Kuninkaallista kohtelua
RelicHardBaked,Kovapintainen
RelicFortifried,Vahvistettu
RelicMoabClash,MOAB-tyrmäys
RelicCamoFlogged,Kiinni jäit
RelicBrokenHeart,Särkynyt sydän
RelicGoingTheDistance,Muita pidemmälle
RelicHeartless,Sydämetön
RelicFlintTips,Piikärjet
RelicAbilitized,Kyvystetty
RelicAirAndSea,Ilma ja meri
RelicElDorado,El Dorado
RelicMonkeyShield,Apinakilpi
RelicMonkeyShieldMark2,Apinakilpi v. 2
RelicMonkeyShieldMark3,Apinakilpi v. 3
RelicPsiVision,Psi-näkö
RelicOpenSeason,Metsästyskausi
RelicCamoTrap,Maastokuvioansa
RelicThrive,Menestys
RelicSuperMonkeyStorm,SMS
RelicMonkeyBoost,Apinatehoste
RelicRoadSpikes,Tiepiikit
RelicMoabMine,MOAB-miina
RelicGlueTrap,Liima-ansa
RelicTechbot,Tekkibotti
RelicPrimaryPrimates,Perusapinat
RelicMilitaryMonkeys,Sotilasapinat
RelicMagicMonkeys,Maagiset apinat
RelicSupportSimians,Tukiapinat
RelicMonkeyTycoon,Apinapohatta
RelicStartingStashDescription,Aloita peli 250 lisärahalla (kasautuu kyvyn ”Lisää käteistä tavanomaisille ruuduille” kanssa)
RelicExtraEmpoweredDescription,Sankarisi aloittaa pelin 3 lisätason voimin (pinoutuu kyvyn ”Sankarit vahvistuvat tavanomaisilla ruuduilla” kanssa)
RelicBoxOfChocolatesDescription,Aloita kukin peli 100 lisäelämällä!
RelicBoxOfMonkeyDescription,"Aloita kukin peli yhdellä ilmaisella, korkeintaan 400 $:n arvoisella apinalla (asettamisen perushinta)"
RelicMarchingBootsDescription,Rajoitetuissa peleissä pelaajat saavat kussakin pelissä +1 jokaista valitsemaansa tornia tai +4 kokonaismaksimiin.
RelicHeroBoostDescription,Sankarit ansaitsevat kussakin pelissä XP:tä 15 % nopeammin
RelicBiggerBloonSabotageDescription,Kaikki MOAB-luokan bloonit syntyvät 15 % pienemmillä osumapisteillä ja liikkuvat 95 %:n nopeudella
RelicRoundingUpDescription,Tienaa +20 $ kunkin kierroksen lopussa
RelicManaBulwarkDescription,"Luo kilven, joka imee itseensä 50 elämää (pinoutuu kyvyn ”Manakilpi tavanomaisilla ruuduilla” kanssa)"
RelicRegenerationDescription,"Palauttaa 20 elämää per kierros kunkin pelin aloitusmäärään saakka, ellei elämiä menetetä kyseisellä kierroksella"
RelicRestorationDescription,"Palauttaa 10 elämää per kierros enintään 200 elämää aloitusmäärää suuremmaksi, ellei elämiä menetetä kyseisellä kierroksella"
RelicDurableShotsDescription,Kaikki ammukset kestävät +25 % pidempään
RelicAlchemistTouchDescription,Kaikki hyökkäykset voivat poksauttaa lyijyblooneja
RelicDeepHeatDescription,Kaikki hyökkäykset voivat poksauttaa valkoisia blooneja
RelicSharpsplosionDescription,Kaikki hyökkäykset voivat poksauttaa mustia blooneja
RelicRoyalTreatmentDescription,Kaikki hyökkäykset voivat poksauttaa violetteja blooneja
RelicHardBakedDescription,Kaikki hyökkäykset tekevät +1 vahinkoa keraamisille blooneille
RelicFortifriedDescription,Kaikki hyökkäykset tekevät +1 vahinkoa vahvistetuille blooneille
RelicMoabClashDescription,Kaikki hyökkäykset tekevät +2 vahinkoa MOAB-luokan blooneille
RelicCamoFloggedDescription,Kaikki hyökkäykset tekevät +3 vahinkoa maastokuvioiduille blooneille
RelicBrokenHeartDescription,Kaikki hyökkäykset tekevät +1 vahinkoa uusiutuville blooneille
RelicGoingTheDistanceDescription,Kaikki apinat saavat +20 % kantamaa
RelicHeartlessDescription,Uusiutuvien bloonien uusiutumisnopeus on 50 % pienempi
RelicFlintTipsDescription,"Terävät ammukset tuottavat kaikille vahingoittamilleen blooneille hetken aikaa tulivahinkoa (1 vahinko 2,5 sekunnin ajaksi, maksimissaan 5 sekuntia)"
RelicAbilitizedDescription,Kaikkien apinoiden aktivoitujen kykyjen palautumisaikaa on lyhennetty 10 %.
RelicAirAndSeaDescription,"Lentäjä-ässän, kopterilentäjän, merirosvon ja sukellusveneen asettaminen ja päivittäminen maksaa 10 % vähemmän ja ne lataavat 5 % tehokkaammin"
RelicElDoradoDescription,Kaikki voitoista saadut apinaraha- ja ryhmäpokaalipalkinnot ovat 25 % suurempia (minimi +1)
RelicMonkeyShieldDescription,"Vastustaja ei voi hyökätä vallattuun ruutuun tunnin ajan. Ajastin alkaa alusta, jos pistemäärää parannetaan."
RelicMonkeyShieldMark2Description,"Vastustaja ei voi hyökätä vallattuun ruutuun kahden tunnin ajan. Ajastin alkaa alusta, jos pistemäärää parannetaan."
RelicMonkeyShieldMark3Description,"Vastustaja ei voi hyökätä vallattuun ruutuun kolmen tunnin ajan. Ajastin alkaa alusta, jos pistemäärää parannetaan."
RelicPsiVisionDescription,Katso lisätietoja kaikista kartan ruuduista
RelicOpenSeasonDescription,Hyökkää minkä tahansa kartan ruudun kimppuun
RelicCamoTrapDescription,Mahdollistaa yhden maastokuvioansan käytön peliä kohden.
RelicThriveDescription,Antaa jokaiseen peliin 2 menestystehostetta
RelicSuperMonkeyStormDescription,Antaa jokaiseen peliin 2 superapinamyrskyä
RelicMonkeyBoostDescription,Antaa jokaiseen peliin 3 apinatehostetta
RelicRoadSpikesDescription,Antaa jokaiseen peliin 10 pinoa tiepiikkejä
RelicMoabMineDescription,Antaa jokaiseen peliin 1 MOAB-miinan
RelicGlueTrapDescription,Antaa jokaiseen peliin 2 liima-ansaa
RelicTechbotDescription,Antaa jokaiseen peliin 1 teknobotin
RelicPrimaryPrimatesDescription,Pienentää kaikkien perusapinoiden hintaa 8 %
RelicMilitaryMonkeysDescription,Pienentää kaikkien sotilasapinoiden hintaa 8 %
RelicMagicMonkeysDescription,Pienentää kaikkien taika-apinoiden hintaa 8 %
RelicSupportSimiansDescription,Pienentää kaikkien tukiapinoiden hintaa 10 %
RelicMonkeyTycoonDescription,"Saat valikoimaasi +1 kaikkia apinatorneja, ja niiden perushinta on 4 % halvempi"
InviteToTeam,Kutsu ryhmään
TeamLeave,Poistu ryhmästä
Requests,Pyynnöt
TeamMessagesTab,Viestit
TeamRosterTab,Luettelo
TeamPending,Odottaa
CancelRequest,Peruuta pyyntö
TeamDisband,Hajota ryhmä
TeamCode,Ryhmäkoodi
TeamMemberCount,{0}/{1} jäsentä
TeamPendingApplications,({0} odottaa)
TeamNoInfo,Ei näytettäviä tietoja
AllTeams,Kaikki ryhmät
TeamsAdvancedSearch,Tarkennettu haku
TeamInvitationDisband,Sinun on hajotettava ryhmäsi ennen kuin voit hyväksyä kutsun
TeamInvitationAcceptWarning,"Jos hyväksyt tämän kutsun, sinut poistetaan nykyisestä ryhmästäsi"
TeamBrowserAllTeams,Kaikki ryhmät
TeamBrowserFriendsTeams,Kaverien ryhmät
TeamBrowserTeamRequests,Pyynnöt
TeamQuickJoin,Pikaliittyminen
TeamBrowserTitle,Selaa ryhmiä
TeamBrowserSearchField,Anna ryhmän nimi...
TeamBrowserSearchHideFull,Piilota täydet ryhmät
TeamBrowserSearchHidePrivate,Piilota yksityiset ryhmät
TeamBrowserSearchHideClosed,Piilota vain kutsu -ryhmät
TeamEditApplyAll,Ota kaikki käyttöön
TeamScore,Pistemäärä: {0}
TeamRemoveMember,Haluatko varmasti poistaa tämän pelaajan?
TeamPromoteMember,Haluatko varmasti ylentää tämän pelaajan?
TeamDemoteMember,Haluatko varmasti alentaa tämän pelaajan?
TeamErrorShowPop,Ryhmävirhe
TeamOwnershipTransferTitle,Ryhmän omistajan vaihto
TeamOwnershipTransferFailed,Ryhmän omistajan vaihto epäonnistui
TeamOwnershipTransferWarning,Haluatko varmasti siirtää ryhmän omistusoikeuden tälle jäsenelle? Tätä ei voi perua!
TeamLeaveConfirm,Haluatko varmasti lähteä ryhmästä?
TeamDisbandConfirm,Haluatko varmasti hajottaa ryhmän?
TeamOwnershipLeavingWarning,Tee toisesta jäsenestä ryhmän omistaja ennen poistumista
TeamNoneFound,Ryhmää ei löytynyt
CTLocal,KT: paikallinen
CTGlobal,KT: maailmanlaajuinen
Rank4th,4
Rank4thAnd,4.–10.
Rank11thAnd,11.–20.
Rank21stAnd,21.–40.
Rank41stAnd,41.–60.
RewardsTop25,Top 25
RewardsTop100,Top 100
DegradedScore,Kulunut pistemäärä
ERR_INVITATION_NO_LONGER_EXISTS,Kutsu ei ole enää olemassa
TeamMateSetScore,Ryhmän jäsen asetti uuden päihitettävän pistemäärän!
AnotherTeamSetScore,Toinen ryhmän asetti uuden päihitettävän pistemäärän!
FriendScreenErrorTeamInviteAlreadyMember,Tämä pelaaja on jo ryhmässäsi
TotalTeamScore,Ryhmän pisteet
CTRulesInfo,"Tervetuloa Kilpailtuihin territorioihin! Tee yhteistyötä ryhmäsi kanssa, valtaa ruutuja, kiipeä pistetaulukon huipulle ja ansaitse mahtavia palkintoja!\n\n• Valtaustiketit kuluvat vain, kun ruutu vallataan. Ne päivittyvät 24 tunnin välein.\n• Käyttämättömät valtaustiketit siirtyvät tikettivarastoon, josta muut ryhmän jäsenet voivat käyttää niitä seuraavana päivänä. Ryhmätiketit eivät vaikuta sijoitukseen henkilökohtaisessa pistetaulukossa.\n• Vallattu ruutu heikkenee ajan myötä ja muuttuu lopulta neutraaliksi.\n• KT-pisteitä saa ruutujen valtaamisesta ja jokaisesta tunnista, jonka ajan ruutu on hallussasi. KT-pisteet vaikuttavat henkilökohtaiseen ja ryhmäsi sijoitukseen pistetaulukossa, joten valtaa ruutuja niin usein kuin vain ikinä voit!\n• Banneriruudut ovat vaikeammin vallattavia ruutuja, joista saa rutosti KT-pisteitä.\n• Reliikkiruudut antavat ryhmällesi voimakasta reliikkitietämystä, josta on apua ruutujen valtaamisessa.\n• Edistyminen tallentuu 20 kierroksen välein, ja sinulla voi olla käytössä vain yksi keskeneräinen tallennus."
TeamTrophyStoreRulesInfo,"Tämä on ryhmän pokaalikauppa, jossa voit äänestää avattavia KT-reliikkejä, rahoittaa päivittäisiä voimia, tapahtumareliikkejä ja ryhmän koristeita.\n• Päivittäiset voimat ovat avattavissa päivittäin KT-tapahtuman aikana, ja kun sellaisen on saanut rahoitettua, se on koko ryhmän käytettävissä kyseisen päivän ajan.\n• Tapahtumareliikit avautuvat käyttöön KT-tapahtuman aikana, ja kun sellaisen on saanut rahoitettua, se on käytettävissä koko tapahtuman ajan. Nämä reliikit ovat erilaisia kuin reliikkiruutujen reliikit.\n• Kaapatkaa reliikkiruutuja ja valitkaa paras tapahtumassa avattu reliikkitietämys. Top 7:n reliikit ovat valittavissa 4 viimeisen reliikin joukkoon.\n• Ryhmän koriste rahoitetaan koko ryhmän voimin, ja kun siinä on onnistuttu, se on pysyvästi ryhmän käytettävissä. Pelaajat, jotka poistuvat ryhmästä, eivät voi ottaa koristetta mukaansa."
TeamsBanner1Name,Apinat avaruudessa -banneri
TeamsBanner2Name,Ryhmä sankareita -banneri
TeamsBanner3Name,Iloa-banneri
TeamsBanner4Name,Shurikentaivas-banneri
TeamsBanner5Name,Apinat yhteistyössä -banneri
TeamsBanner6Name,Kilpailtu kuningaskunta -banneri
TeamsBanner1ShortName,Apinat avaruudessa -banneri
TeamsBanner2ShortName,Ryhmä sankareita -banneri
TeamsBanner3ShortName,Iloa-banneri
TeamsBanner4ShortName,Shurikentaivas-banneri
TeamsBanner5ShortName,Apinat yhteistyössä -banneri
TeamsBanner6ShortName,Kilpailtu kuningaskunta -banneri
TeamsBanner1Description,Näethän sinäkin tuon valtavan leijuvan banaanitertun?!
TeamsBanner2Description,Heidän voimansa yhdistyvät ja heistä tulee supersankariryhmä!
TeamsBanner3Description,Onnelliset apinat ovat tuottavia apinoita.
TeamsBanner4Description,Pimennämme taivaan shurikeneillamme!
TeamsBanner5Description,Apinat yhdessä vahva.
TeamsBanner6Description,Hallitse muita apinoita tämän mahtavan KT-bannerin voimin.
TeamsEmblemFrame5Name,Lumihiutale-kehys
TeamsEmblemFrame6Name,Tuli-kehys
TeamsEmblemFrame7Name,Taika-kehys
TeamsEmblemFrame8Name,Metsä-kehys
TeamsEmblemFrame9Name,Insinööri-kehys
TeamsEmblemFrame5ShortName,Lumihiutale-kehys
TeamsEmblemFrame6ShortName,Tuli-kehys
TeamsEmblemFrame7ShortName,Taika-kehys
TeamsEmblemFrame8ShortName,Metsä-kehys
TeamsEmblemFrame9ShortName,Insinööri-kehys
TeamsEmblemFrame5Description,Kolee kehys koleelle ryhmälle!
TeamsEmblemFrame6Description,Aika kuumotella vastustajaasi!
TeamsEmblemFrame7Description,Salaperäinen ja taianomainen kehys.
TeamsEmblemFrame8Description,"Varmista, että ryhmäsi erottuu joukosta tällä siistillä luontoaiheisella kehyksellä."
TeamsEmblemFrame9Description,"Perinpohjainen suunnittelu, tarkka mittaaminen ja huolellinen toteutus ovat voiton avaimia!"
TeamsEmblemIcon5Name,Pääkallo-kuvake
TeamsEmblemIcon6Name,MOAB-salamurhaaja-kuvake
TeamsEmblemIcon7Name,Shuriken-kuvake
TeamsEmblemIcon8Name,Alkemistin keitos -kuvake
TeamsEmblemIcon5ShortName,Pääkallo-kuvake
TeamsEmblemIcon6ShortName,MOAB-salamurhaaja-kuvake
TeamsEmblemIcon7ShortName,Shuriken-kuvake
TeamsEmblemIcon8ShortName,Alkemistin keitos -kuvake
TeamsEmblemIcon5Description,"Reivatkaa purjeet, lähtekää merille ja kaapatkaa alueet!"
TeamsEmblemIcon6Description,Vavisuttakaa kaikkia eteenne astuvia MOABeja!
TeamsEmblemIcon7Description,Tätä kuvaketta käyttävät ryhmät iskevät hiljaisuudessa – ja kuolettavasti.
TeamsEmblemIcon8Description,Ota myrskypilvet komentoosi tällä upealla ryhmäkuvakkeella.
TeamsEmblemIcon9Name,Gwenin tuli -kuvake
TeamsEmblemIcon9ShortName,Gwenin tuli -kuvake
TeamsEmblemIcon9Description,Tämä on Gwenin käsitys ryhmäkuvakkeesta. Tässä vaiheessa kenenkään ei pitäisi enää olla yllättynyt. Se on tulta.
TeamsEmblemIcon10Name,Quincyn nuolet -kuvake
TeamsEmblemIcon10ShortName,Quincyn nuolet -kuvake
TeamsEmblemIcon10Description,Quincyn ohjautuvat nuolet nyt kuvakkeena!
TeamsEmblemIcon11Name,Obynin puu -kuvake
TeamsEmblemIcon11ShortName,Obynin puu -kuvake
TeamsEmblemIcon11Description,Näet takuulla metsän puilta tämän ympäristöystävällisen kuvakkeen ansiosta.
TeamsEmblemIcon12Name,Prätkä-Bones-kuvake
TeamsEmblemIcon12ShortName,Prätkä-Bonesin peukku -kuvake
TeamsEmblemIcon12Description,Herra liekkirysty antaa tällä kuvakkeella peukun eeppiselle ryhmällesi!
BuildingPropWizardTowerName,Velhotornirakennus
BuildingPropLighthouseName,Majakkarakennus
FlyingPropPhoenixName,Lentävä feeniks
FlyingPropMiniAceName,Lentävä mini-ässä
WaterPropKrakenName,Kraken
WaterPropMiniSubName,Minisukellusvene
BasePropKingName,Apinakuningas
BasePropLighthouseKeeperName,Majakanvartija
BasePropCrashedMoabName,Rysähtänyt MOAB
BasePropTrainingDummyName,Harjoitusnukke
BasePropCampfireName,Mukava leirituli
BasePropTotemName,Tribaalitoteemi
BasePropSatelliteName,Liikkuva satelliittilaite
BasePropTortoiseName,Tribaalikilpikonna
BasePropBattleMonkeyName,Taisteluapina
BuildingPropBattleTowerName,Perustornirakennus
BuildingPropWizardTowerShortName,Velhotornirakennus
BuildingPropLighthouseShortName,Majakkarakennus
FlyingPropPhoenixShortName,Lentävä feeniks
FlyingPropMiniAceShortName,Lentävä mini-ässä
WaterPropKrakenShortName,Kraken
WaterPropMiniSubShortName,Minisukellusvene
BasePropKingShortName,Apinakuningas
BasePropLighthouseKeeperShortName,Majakanvartija
BasePropCrashedMoabShortName,Rysähtänyt MOAB
BasePropTrainingDummyShortName,Harjoitusnukke
BasePropCampfireShortName,Mukava leirituli
BasePropTotemShortName,Tribaalitoteemi
BasePropSatelliteShortName,Liikkuva satelliittilaite
BasePropTortoiseShortName,Tribaalikilpikonna
BasePropBattleMonkeyShortName,Taisteluapina
BuildingPropBattleTowerShortName,Perustornirakennus
BuildingPropWizardTowerDescription,"Taianomaiset seikkailut odottavat sitä ryhmää, joka kykenee rahoittamaan tämän salaperäisen tukikohdan. [Päärakennuspaikka]"
