//Input. Needs to be first e.g [I] replaced by click or tap,
Click,Clicca
HeroesEziliPlacementGlyphName,Posizionamento e potenziamento Materializzazione glifo Ezili
HeroesEziliPlacementGlyphShortName,Glifo Ezili
HeroesEziliPlacementGlyphDescription,"Teletrasportami, Ezili! Solo Ezili originale"
TowerPropMonkeyVillageNZFlagName,Bandiera villaggio delle scimmie Nuova Zelanda
TowerPropMonkeyVillageNZFlagShortName,Bandiera villaggio Nuova Zelanda
TowerPropMonkeyVillageNZFlagDescription,Che il Dio del Sole difenda la nostra libera patria E i villaggi delle scimmie dai bloon! Per tutti i potenziamenti
TowerPropMonkeyVillageScotlandFlagName,Bandiera villaggio delle scimmie Scozia
TowerPropMonkeyVillageScotlandFlagShortName,Bandiera villaggio Scozia
TowerPropMonkeyVillageScotlandFlagDescription,"Alzati e dichiara al mondo la tua Libertàààààà, con questa bandiera del villaggio delle scimmie. Per tutti i potenziamenti"
TowerPropMonkeyVillageBananaFlagName,Bandiera villaggio delle scimmie Banana
TowerPropMonkeyVillageBananaFlagShortName,Bandiera villaggio Banana
TowerPropMonkeyVillageBananaFlagDescription,"Tutti pazzi per il frutto preferito delle scimmie, sfoggiato come si deve sul tuo villaggio delle scimmie. Per tutti i potenziamenti"
TowerEffectAllMonkeysPlacementUpgradesFireworksName,Piazzamento fuochi d'artificio ed effetti del potenziamento
TowerEffectAllMonkeysPlacementUpgradesFireworksShortName,Effetto Potenziamento fuochi d'artificio
TowerEffectAllMonkeysPlacementUpgradesFireworksDescription,Festeggia ogni nuova scimmia e potenziamento con questo spettacolo di fuochi d'artificio! Oggetto collezionabile per un periodo limitato!
TowerProjectileWizardMonkeyFireworksName,Fuochi d'artificio del mago
TowerProjectileWizardMonkeyFireworksShortName,Fuochi d'artificio del mago
TowerProjectileWizardMonkeyFireworksDescription,Sfoga il Gandalf che c'è in te e regala alle tue scimmie mago questi fuochi d'artificio! Oggetto collezionabile per un periodo limitato!
BloonsAllBloonsBeardsName,Barba bloon
BloonsAllBloonsBeardsShortName,Barba bloon
BloonsAllBloonsBeardsDescription,"Conosciuta anche come barba da direttore artistico, non lasciarti scappare questa stilosa peluria facciale"
BloonsAllMOABSepiaName,Bloon di classe MOAB vecchia scuola
BloonsAllMOABSepiaShortName,MOAB vecchia scuola
BloonsAllMOABSepiaDescription,"Non regolate gli strumenti, questi MOAB spaccano alla vecchia maniera"
CoopEmoteAnimationTumbleweedName,Animazione Rotolacampo
CoopEmoteAnimationTumbleweedShortName,Rotolacampo
CoopEmoteAnimationTumbleweedDescription,Combinala con il canto dei grilli per massimizzare l'effetto!
CoopEmoteIconSkullAndCrossbonesName,Emote Teschio con ossa incrociate
CoopEmoteIconSkullAndCrossbonesShortName,Teschio con ossa incrociate
CoopEmoteIconSkullAndCrossbonesDescription,Avvisa del pericolo imminente o manifesta la tua passione per le ossa con questa spaventosa emote
CoopEmoteTextActivateName,Emote Attiva!
CoopEmoteTextActivateWord,Attiva!
CoopEmoteTextActivateShortName,Attiva!
CoopEmoteTextActivateDescription,Avvia il tornio in officina! Da' il via all'Abbattimento MOAB! Scatena il Tecno-terrore! Fai arrivare il tuo messaggio
GameUIProfileAvatar40Name,Avatar personalizzato - Immagine di profilo Harlegwen
GameUIProfileAvatar40ShortName,Immagine avatar Harlegwen
GameUIProfileAvatar40Description,Avatar vincitore di Qqertynn
GameUIProfileAvatar41Name,Avatar personalizzato - Bomba abbagliante ninja
GameUIProfileAvatar41ShortName,Avatar Bomba abbagliante
GameUIProfileAvatar41Description,Avatar vincitore di _Concilliabule_
GameUIProfileAvatar42Name,Avatar personalizzato: Patch aziendale
GameUIProfileAvatar42ShortName,Patch aziendale
GameUIProfileAvatar42Description,Patch ha scalato silenziosamente i vertici aziendali di Monkeydom
GameUIProfileAvatar43Name,Avatar personalizzato - Spara bombe: fuochi d'artificio
GameUIProfileAvatar43ShortName,Spara bombe: fuochi d'artificio
GameUIProfileAvatar43Description,Esiste forse un modo migliore per sparare quei razzi? Oggetto collezionabile per un periodo limitato!
GameUIPowerSkinMonkeyBoostFireworksName,Potere personalizzato - Potenziamento scimmia fuochi d'artificio
GameUIPowerSkinMonkeyBoostFireworksShortName,Potenziamento scimmia fuochi d'artificio
GameUIPowerSkinMonkeyBoostFireworksDescription,Potenzia le tue scimmie e ispirale a compiere atti eroici con questo grandioso spettacolo pirotecnico. Oggetto collezionabile per un periodo limitato!
GameUIMusicTrackMusicTropicalOctopusMixName,Jukebox: Tropical Carnival - Octopus Mix
GameUIMusicTrackMusicTropicalOctopusMixShortName,Tropical Carnival Octopus
GameUIMusicTrackMusicTropicalOctopusMixDescription,Aggiungi qualche beat elettronico e questo pezzo carnival si trasforma in un classico da festa. Alza il volume!
PlaySocial,Gioca social
ContentBrowser,Ricerca contenuti
CoopChallenge,Sfida cooperativa
SocialEditChallenge,Modifica sfida
SocialEditOdyssey,Modifica Odissea
SocialViewBrowser,Vedi Ricerca
MonkeyTeamWins,Vittorie Squadre di scimmie
NewerSaveFound,Trovati nuovi dati di salvataggio! Hai giocato ad una versione più recente del gioco su un altro dispositivo. Aggiorna ora per continuare a giocare su questo dispositivo. Nessun aggiornamento disponibile? Visita https://ninja.kiwi/btd6_outofdate per maggi
RacePasses,{0} Pass per Corse
FreeEntries,{0} Ingressi gratis
FreeEntry,1 Ingresso gratis
PrivateCoopLobby,Lobby cooperativa privata
PublicCoopLobby,Lobby cooperativa [{0}]
MyOdysseys,Le mie Odissee
OdysseySearch,Cerca/Codice Odissea…
Psychic Blast Ability,Esplosione psichica
Psychic Blast Ability Description,Psi scatena un'ondata di potere che stordisce a lungo i bloon vicini.
Psionic Scream Ability,Urlo psionico
Psionic Scream Ability Description,Psi lancia un urlo silenzioso che getta i Bloon nel caos più totale.
EditorMode,Modalità Editor
ConfirmMaps,Mappe da confermare: {0}
ResetOdysseyProgress,Quest'azione invaliderà i tuoi progressi in Odissea. Vuoi procedere?
OdysseyName,Nome Odissea
OdysseyEditor,Editor Odissea
MaxPowers,Poteri massimi:
MaxMonkeySlots,Slot scimmia massimi:
MaxPowerSlots,Slot potere massimi:
MapNumber,Mappa {0}
ExtremeMode,Modalità estrema:
Edit,Modifica
OdysseyInviteReceivedDescription,Hai ricevuto un invito a provare il codice Odissea: {0}
SharingOdyssey,Riuscirai a battere questa Odissea su Bloons TD6?
EditorPowersIncluded,Poteri inclusi
EditorPowersExcluded,Potere escluso
OdysseyDescription,Descrizione:
SelectDefaultCrew,Seleziona l'equipaggio predefinito
Completed,Completamento
BossStart,Inizia evento boss
BloonariusPrime,Bloonarius Prime
OdysseyLockedSubmitButtonDescription,Hai già inviato questa Odissea
OdysseyLockedShareButtonDescription,Per condividere la tua Odissea devi dimostrare che è possibile raggiungere la schermata di vittoria nella modalità di prova!
OdysseyShareAgainExplanation,Condividi ancora allo scadere del timer. Devi superare l'Odissea per poterla condividere.
ProfileAvatars,Avatar
ProfileBanners,Banner
BossNormal,Normale
BossElite,Élite
BloonariusTagLine,Dalle paludose profondità
BloonariusTagLine2,Si desta il Gonfiatore!
Bloonarius,Bloonarius
TierX,Livello {0}
HeroesGwendolinPlacementFireballName,Posizionamento e potenziamento Palla di fuoco Gwendolin
HeroesGwendolinPlacementFireballShortName,Palla di fuoco Gwen
HeroesGwendolinPlacementFireballDescription,Assicurati che l'arrivo di Gwen e i suoi potenziamenti facciano fuoco e fiamme con questo fantastico effetto Palla di fuoco! Solo Gwendolin originale
TowerPropMonkeyVillageGermanyFlagName,Bandiera villaggio delle scimmie Germania
TowerPropMonkeyVillageGermanyFlagShortName,Bandiera villaggio Germania
TowerPropMonkeyVillageGermanyFlagDescription,Tutti sanno che la tecnologia del villaggio delle scimmie Germania è ausgezeichnet! Per tutti i potenziamenti
TowerPropMonkeyVillageUKFlagName,Bandiera villaggio delle scimmie UK
TowerPropMonkeyVillageUKFlagShortName,Bandiera villaggio UK
TowerPropMonkeyVillageUKFlagDescription,Questo villaggio delle scimmie è fiero di essere parte del Commonwealth. Orgoglio inglese per tutti i potenziamenti
BloonsDDTSkinTronName,DDT neon
BloonsDDTSkinTronShortName,DDT neon
BloonsDDTSkinTronDescription,Che questo DDT così agile e letale venga dal futuro? Non è da escludersi.
BloonsAllBloonsBucketHatName,Bloon cappello da pescatore
BloonsAllBloonsBucketHatShortName,Bloon cappello da pescatore
BloonsAllBloonsBucketHatDescription,Fai la gioia dei bloon più modaioli con questi stilosi cappelli da pescatore digitali.
BloonsAllBloonsPopsWaterbloonName,Effetto esplosione bloon d'acqua
BloonsAllBloonsPopsWaterbloonShortName,Effetto esplosione bloon d'acqua
BloonsAllBloonsPopsWaterbloonDescription,Supera la canicola rendendo ogni bloon un palloncino d'acqua pronto a esplodere e inzuppare tutti
CoopEmoteTextNextRoundScaryName,Emote testo Prossimo round! Aiuto!
CoopEmoteTextNextRoundScaryShortName,Prossimo round! Aiuto!
CoopEmoteTextNextRoundScaryDescription,Avvisa i tuoi compagni di squadra in modalità cooperativa riguardo al prossimo round! Molto utile anche ad Halloween.
CoopEmoteTextNextRoundScaryWord,Prossimo round! Aiuto!
CoopEmoteAnimationFistpumpName,Animazione Batti il pugno
CoopEmoteAnimationFistpumpShortName,Batti il pugno
CoopEmoteAnimationFistpumpDescription,Per celebrare un ottimo lavoro!
GameUIProfileAvatar44Name,Avatar personalizzato - Scimmia SAS
GameUIProfileAvatar44ShortName,Avatar Scimmia SAS
GameUIProfileAvatar44Description,Avatar vincitore di LV-223_Deacon
GameUIProfileAvatar45Name,Avatar personalizzato - Progetto
GameUIProfileAvatar45ShortName,Avatar Progetto
GameUIProfileAvatar45Description,Avatar vincitore di dungeon-raided
GameUIProfileAvatar46Name,Avatar personalizzato - Ezili mascherata
GameUIProfileAvatar46ShortName,Avatar Ezili mascherata
GameUIProfileAvatar46Description,Conosciuta anche come Ezili-appena-svegliata
GameUIProfileAvatar47Name,Avatar personalizzato - Sfera acuminata
GameUIProfileAvatar47ShortName,Avatar Sfera acuminata
GameUIProfileAvatar47Description,Le Sfere acuminate non sono mai state così cool... Assolutamente imperdibile
GameUIProfileBanner1Name,Banner profilo Antenne
GameUIProfileBanner1ShortName,Banner Antenne
GameUIProfileBanner1Description,Questo banner profilo personalizzato ispirato alla scimmia asso darà del filo da torcere agli altri giocatori
GameUIProfileBanner2Name,Banner profilo Spirito del lupo
GameUIProfileBanner2ShortName,Banner Spirito del lupo
GameUIProfileBanner2Description,Risveglia il tuo spirito animale con il banner profilo personalizzato di Obyn lupo
GameUIProfileBanner3Name,Banner profilo In arrivo
GameUIProfileBanner3ShortName,Banner In arrivo
GameUIProfileBanner3Description,"Usa questo banner profilo personalizzato con la tempesta di bloon guidata da BFB, come simbolo delle tue vittorie"
GameUIProfileBanner4Name,Banner profilo Pioggia di freccette
GameUIProfileBanner4ShortName,Banner Pioggia di freccette
GameUIProfileBanner4Description,Questa comunissima freccetta è tutto tranne che comune in questo elegante banner profilo personalizzato
GameUIProfileBanner5Name,Banner profilo Reattivo
GameUIProfileBanner5ShortName,Banner Reattivo
GameUIProfileBanner5Description,Combina rischi e potenza in questo banner profilo personalizzato ispirato a scimmia sommergibile
Paragon Title,Potenzia in campione
Paragon Body,Quest'azione creerà un'unità di {0} campione. Tutte le altre unità di {1} verranno distrutte per alimentare il potere del campione!
ft_paragontitle,Potenziamento campione abilitato!
ft_paragondescription,"Potenzia una delle tue scimmie di livello 5 per creare un campione! I campioni assorbono tutte le scimmie del loro tipo, tra cui le scimmie di livello 5 degli altri due percorsi.\n\nIl grado del campione è influenzato dalla quantità di potere assorbito al"
ParagonDegreeText,Grado campione
DartMonkeys,Scimmie lancia freccette
BoomerangMonkeys,Scimmie boomerang
BombShooters,Spara bombe
TackShooters,Spara puntine
IceMonkeys,Scimmie del ghiaccio
GlueGunners,Spara colla
SniperMonkeys,Scimmie cecchino
MonkeySubs,Scimmie sommergibile
MonkeyBuccaneers,Scimmie bucaniere
MonkeyAces,Scimmie asso
HeliPilots,Piloti di elicottero
MortarMonkeys,Scimmie mortaio
WizardMonkeys,Scimmie mago
DartlingGunners,Torri spara freccette
SuperMonkeys,Super scimmie
NinjaMonkeys,Scimmie ninja
Alchemists,Alchimisti
Druids,Druidi
BananaFarms,Vivai di banane
EngineerMonkeys,Scimmie ingegnere
SpikeFactorys,Fabbriche di aculei
MonkeyVillages,Villaggi delle scimmie
BossInfoPanelTitle,Evento boss dei bloon
BossInfoPanelDescription,"Salve, cuor di leone! Ti trovi nel regno dei boss. Buona fortuna, e ricorda queste regole importanti:\n• L'evento boss inizia appena premi Gioca, non ci sono pause tra i round e i boss non possono essere rallentati.\n• Fai scoppiare i 5 livelli dei boss per vincere ogni modalità boss; supera la difficoltà normale per sbloccare la difficoltà élite.\n• Sfrutta le tue risorse, prepara le abilità e fai buon uso del tempo tra i livelli!\n• Guadagna trofei e altre ricompense per ogni livello superato, ma se non riuscirai a superare un livello in 20 round, perderai.\n• Sfida gli altri giocatori in modalità classificata per scoprire chi riuscirà a battere più velocemente il boss e ottieni premi incredibili!\n• Il tuo miglior piazzamento in solitaria o in cooperativa determina le ricompense che vincerai.\n• Le modalità Normale ed Élite hanno classifiche e premi separati, e puoi vincere in entrambe!"
BloonariusInfoPanelDescription,"Il melmoso Bloonarius sputa fuori bloon ogni volta che subisce danni, e fa fuoriuscire enormi ammassi di bloon al raggiungimento di ogni teschio sulla barra della salute.\n\nL'involucro di melma di Bloonarius lo rende lento ma estremamente resistente."
NextBossIn,Il boss compare tra: {0}
ARound,1 round
SomeRounds,{0} round
DartMonkey Paragon,Apex maestro del plasma
DartMonkey Paragon Description,Riempi l'area di sfere colossali di plasma che fanno a pezzi i bloon senza lasciarsi nulla alle spalle...
BoomerangMonkey Paragon,Dominus del falcione
BoomerangMonkey Paragon Description,I bloon guarderanno i miei falcioni e conosceranno la paura.
TowerEffectAllMonkeysPlacementUpgradesButterfliesName,Piazzamento farfalle ed effetti del potenziamento
TowerEffectAllMonkeysPlacementUpgradesButterfliesShortName,Effetto Potenziamento farfalle
TowerEffectAllMonkeysPlacementUpgradesButterfliesDescription,Apprezza la natura e la sua bellezza osservando le farfalle sprigionate da ogni piazzamento e potenziamento di scimmie.
BossEvent,Evento boss
NewCoopGame,Nuova partita cooperativa
Hold,Pausa
Paragon,Campione
Unlock All (For This Tower),Sblocca tutto (per questa torre)
Purchase Tower XP,Acquista PE torre
Connect Controller,Collega controller
BossDefeatedYou,{0} ti ha sconfitto
TierBossDefeated,Livello {0} scoppiato
BossDefeated,Hai sconfitto {0}!
Set Center,Imposta al centro
Bombardment Ability,Bombardamento
PlayerStatsHighestRoundCHIMPS,Round maggiore SCIMPANZÉ
PlayerStatsHighestRoundDeflation,Round maggiore Sgonfiamento
Rejoin Coop,Rientra in cooperativa
WaitingEndRound,In attesa della fine del round in corso
SoftwareCursor,Cursore grande
LargeCursor,Cursore enorme
Cursor,Cursore
SandboxCursor,Sandbox/cursore
Achievement 128 Name,Ma che blooneria è questa?
Achievement 128 Description,Sconfiggi un boss di livello 1
Achievement 129 Name,Boss dei miei stivali
Achievement 129 Description,Sconfiggi un boss di livello 5
Achievement 130 Name,Il boss sono io
Achievement 130 Description,Sconfiggi un boss d'élite di livello 5
Achievement 131 Name,Apoteosi
Achievement 131 Description,Potenzia in campione una torre scimmia
